Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Introduction to Python,https://www.datacamp.com/courses/intro-to-python-for-data-science?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy5XdZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,Master the basics of data analysis with Python in just four hours. This online course will introduce the Python interface and explore popular packages.,Master the basics of data analysis with Python in just four hours. This online course will introduce the Python interface and explore popular packages.,Introductory,0,1,0,4.4,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Introduction to R,https://www.datacamp.com/courses/free-introduction-to-r?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy5SFZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,"Master the basics of data analysis in R, including vectors, lists, and data frames, and practice R with real data sets.","Master the basics of data analysis in R, including vectors, lists, and data frames, and practice R with real data sets.",Introductory,0,1,0,3.8,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Introduction to Probability and Data - Labs,https://www.datacamp.com/community/open-courses/introduction-to-probability-and-data-labs?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3A01ZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,This interactive DataCamp course complements the Coursera course Introduction to Probability and Data by Mine Çetinkaya-Rundel.,This interactive DataCamp course complements the Coursera course Introduction to Probability and Data by Mine Çetinkaya-Rundel.,Introductory,0,0,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Reading Data into R with readr,https://www.datacamp.com/community/open-courses/reading-data-into-r-with-readr?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3A0NZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,"In this course, you'll learn several features of Hadley Wickham's readr package: from importing and exporting data sets to more advanced topics, like type conversion.","In this course, you'll learn several features of Hadley Wickham's readr package: from importing and exporting data sets to more advanced topics, like type conversion.",Introductory,0,0,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Inferential Statistics,https://www.datacamp.com/community/open-courses/inferential-statistics?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3AxBZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,This course complements the course on Inferential Statistics at Coursera.,This course complements the course on Inferential Statistics at Coursera.,Introductory,0,0,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Intro to Computational Finance with R,https://www.datacamp.com/community/open-courses/computational-finance-and-financial-econometrics-with-r?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3A2xZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,"In this course, you'll make use of R to analyze financial data, estimate statistical models, and construct optimized portfolios.","In this course, you'll make use of R to analyze financial data, estimate statistical models, and construct optimized portfolios.",Introductory,0,0,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Basic Statistics,https://www.datacamp.com/community/open-courses/basic-statistics?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3A2JZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,This course complements the Coursera Basic Statistics course and is roughly based on the syllabus used by at the University of Amsterdam.,This course complements the Coursera Basic Statistics course and is roughly based on the syllabus used by at the University of Amsterdam.,Introductory,0,0,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
R for the Intimidated,https://www.datacamp.com/community/open-courses/r-for-the-intimidated?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3AzhZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,"This course will introduce you to the very basics of R, from running simple functions to manipulating data sets and creating graphs.","This course will introduce you to the very basics of R, from running simple functions to manipulating data sets and creating graphs.",Introductory,0,0,0,3.53,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Introduction to Databases in Python,https://www.datacamp.com/courses/introduction-to-relational-databases-in-python?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3Az5ZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,"In this course, you'll learn the basics of relational databases and how to interact with them.","In this course, you'll learn the basics of relational databases and how to interact with them.",Introductory,0,1,0,1.0,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
Ensemble Methods in Python,https://www.datacamp.com/courses/ensemble-methods-in-python?irclickid=2ItUBXQtxxyNRm33adwLtwB0UkAWy%3AwtZQ33Q40&irgwc=1&utm_medium=affiliate&utm_source=impact&utm_campaign=000000_1-259799_2-mix_3-all_4-na_5-na_6-na_7-mp_8-affl-ip_9-na_10-bau_11-Class%20Central&utm_content=BANNER&utm_term=,Computer Science,"Learn how to build advanced and effective machine learning models in Python using ensemble techniques such as bagging, boosting, and stacking.","Learn how to build advanced and effective machine learning models in Python using ensemble techniques such as bagging, boosting, and stacking.",Introductory,0,1,0,5.0,0,English,English,DataCamp,DataCamp,https://cdn.datacamp.com/main-app/assets/logos/datacamp-full-inverted-61bf3532a54d25d5b45b82fbe208cb86aed9663a324546cd351531a25985df8a.svg
