Course Title,Course URL,Duration,Rating,Cost,Level,Description,Platform
Getting Started with AWS Mainframe Modernization Refactor with AWS Blu Age,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15147/getting-started-with-aws-mainframe-modernization-refactor-with-aws-blu-age,1h 00m,5.0,Free,Fundamental,,AWS
Cloud for CEOs,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15120/cloud-for-ceos,10m 00s,5.0,Free,Fundamental,"This course provides CEOs and presidents a high-level picture of cloud computing technology. Learners explore what cloud is, why they should consider cloud, and how to get started on the cloud adoption journey.",AWS
Getting Started with AWS Mainframe Modernization Service,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15119/getting-started-with-aws-mainframe-modernization-service,1h 00m,5.0,Free,Fundamental,"The AWS Mainframe Modernization service helps you migrate and modernize your mainframe applications to Amazon Web Services (AWS) managed runtime environments. Through two main migration patterns, automated refactor and replatform, the service provides tools and resources to help you plan and implement mainframe migration and modernization on AWS.",AWS
Introduction to Robotics on AWS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15053/introduction-to-robotics-on-aws,30m 00s,5.0,Free,Fundamental,"The robotics industry is growing at a rapid rate, creating a need for people with the varied skills required for robotics (mechanics, electrical, software, and more). In this course, you will learn how to use the cloud and Amazon Web Services (AWS) to help accelerate your robotics development.",AWS
Getting Started with Bottlerocket,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15050/getting-started-with-bottlerocket,30m 00s,5.0,Free,Fundamental,"Bottlerocket is a Linux-based, open-source operating system that is purpose-built by Amazon Web Services (AWS) for running containers. Bottlerocket includes only the essential software required to run containers and helps secure the underlying software. With Bottlerocket, customers can reduce maintenance overhead and automate their workflows by applying configuration settings consistently as nodes are upgraded or replaced.",AWS
AWS Free Tier: Introduction to Managing Services,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15013/aws-free-tier-introduction-to-managing-services,10m 00s,5.0,Free,Fundamental,"By the end of this course, you will be able to manage your AWS Free Tier services when approaching usage limits and develop the ability to select your transition path out of AWS Free Tier. You will also be able to make informed decisions when choosing to either terminate a service or continue using a service and transition to a paid tier.",AWS
AWS Free Tier: Introduction to Offerings,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15012/aws-free-tier-introduction-to-offerings,10m 00s,5.0,Free,Fundamental,"With AWS Free Tier, customers can explore and try out Amazon Web Services (AWS) services free of charge up to specified limits for applicable services. By the end of this course, you will be able to differentiate between the AWS Free Tier offerings and know how to locate offers. You will also be able to identify offer details and usage limits.",AWS
AWS Free Tier: Introduction to Monitoring Services,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15010/aws-free-tier-introduction-to-monitoring-services,10m 00s,4.0,Free,Fundamental,"This course introduces tools to monitor your AWS Free Tier services to stay within your usage limits. By the end of this course, you will be able to monitor your AWS Free Tier services when approaching usage limits. You will also be able to explain how these cloud financial management tools can assist you with monitoring your AWS Free Tier services.",AWS
Getting Started with AWS Cloud Essentials,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15009/getting-started-with-aws-cloud-essentials,1h 00m,5.0,Free,Fundamental,,AWS
Getting Started with Amazon QuickSight,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14908/getting-started-with-amazon-quicksight,1h 00m,5.0,Free,Fundamental,"Amazon QuickSight is a cloud-scale business intelligence (BI) service that you can use to create and publish interactive dashboards. You can access these from browsers or mobile devices. As a fully managed cloud-based service, QuickSight combines data from many different sources and provides user management tools that you can use to scale from a few users to millions.",AWS
