title,url,categories,description_short,description_long,difficulty,duration,free_option,number_of_enroll,rating,paid_option,language,subtitle,platform,provider,image_url
"Build, Train, and Deploy ML Pipelines using BERT",https://www.coursera.org/learn/ml-pipelines-bert,"Data Science, Machine Learning",,"In the second course of the Practical Data Science Specialization, you will learn to automate a natural language processing task by building an end-to-end machine learning pipeline using Hugging Faceâs highly-optimized implementation of the state-of-the-art BERT algorithm with Amazon SageMaker Pipelines. Your pipeline will first transform the dataset into BERT-readable features and store the features in the Amazon SageMaker Feature Store. It will then fine-tune a text classification model to the dataset using a Hugging Face pre-trained model, which has learned to understand the human language from millions of Wikipedia documents. Finally, your pipeline will evaluate the modelâs accuracy and only deploy the model if the accuracy exceeds a given threshold.Practical data science is geared towards handling massive datasets that do not fit in your local hardware and could originate from multiple sources. One of the biggest benefits of developing and running data science projects in the cloud is the agility and elasticity that the cloud offers to scale up and out at a minimum cost.

The Practical Data Science Specialization helps you develop the practical skills to effectively deploy your data science projects and overcome challenges at each step of the ML workflow using Amazon SageMaker. This Specialization is designed for data-focused developers, scientists, and analysts familiar with the Python and SQL programming languages and want to learn how to build, train, and deploy scalable, end-to-end ML pipelines - both automated and human-in-the-loop - in the AWS cloud.",2,1,1,4137,4.7,Refer to link for price,English,English,Coursera,"DeepLearning.AI, Amazon Web Services",https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
Fundamentals of the Chinese character writing. Part 2,https://www.coursera.org/learn/chinese-character-writing-2,"Language Learning, Other Languages",,"If you just finished the first course, you will definitely love the second one!The course gives a concise survey of the Chinese character-writing tradition. Youâll master the fundamentals of the Chinese writing aesthetics; maintain the main techniques, gain more knowledge about writing tools and materials Youâll get the explanation of the 214 Chinese character radicals (the first part in Part 1 of the Course, the second â in Part 2) and can practice their writing, using the animated and static samples given in videos and on pages. Elaborate tests are going to help you regularizing the new information and filling the lacunae. 

Welcome to the mysterious world of the Chinese characters!",0,1,1,0,0.0,Refer to link for price,English,English,Coursera,Saint Petersburg State University,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
Natural Language Processing and Capstone Assignment,https://www.coursera.org/learn/natural-language-processing-captsone-assignment,"Data Science, Data Analysis",,"Welcome to Natural Language Processing and Capstone Assignment. In this course we will begin with an Recognize how technical and business techniques can be used to deliver business insight, competitive intelligence, and consumer sentiment. The course concludes with a capstone assignment in which you will apply a wide range of what has been covered in this specialization.",1,0,1,0,0.0,Refer to link for price,English,English,Coursera,"University of California, Irvine",https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
Physics 102  - Magnetic Fields and Faraday's Law,https://www.coursera.org/learn/physics-102-magnetic-fields-faradays-law,"Physical Science and Engineering, Physics and Astronomy",,"This course serves as an introduction to the physics of electricity and magnetism.  Upon completion, learners will have an understanding of how the forces between electric charges are described by fields, and how these fields are related to electrical circuits. They will gain experience in solving physics problems with tools such as graphical analysis, algebra, vector analysis, and calculus.  The course follows the typical progression of topics of a first-semester university physics course:  charges, electric forces, electric fields potential, magnetic fields, currents, magnetic moments, electromagnetic induction, and circuits.  Each module contains reading links to a free textbook, complete video lectures, conceptual quizzes, and a set of homework problems.  Once the modules are completed, the course ends with an exam.  This comprehensive course series is similar in detail and rigor to what is taught on-campus.  It will thoroughly prepare learners for their upcoming introductory physics courses, or more advanced courses in physics.",1,1,1,0,0.0,Refer to link for price,English,English,Coursera,Rice University,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
Supervised Machine Learning: Classification,https://www.coursera.org/learn/supervised-machine-learning-classification,"Data Science, Machine Learning",,"This course introduces you to one of the main types of modeling families of supervised Machine Learning: Classification. You will learn how to train predictive models to classify categorical outcomes and how to use error metrics to compare across different models. The hands-on section of this course focuses on using best practices for classification, including train and test splits, and handling data sets with unbalanced classes.By the end of this course you should be able to:
-Differentiate uses and applications of classification and classification ensembles
-Describe and use logistic regression models
-Describe and use decision tree and tree-ensemble models
-Describe and use other ensemble methods for classification
-Use a variety of error metrics to compare and select the classification model that best suits your data
-Use oversampling and undersampling as techniques to handle unbalanced classes in a data set
Â 
Who should take this course?
This course targets aspiring data scientists interested in acquiring hands-on experience with Supervised Machine Learning Classification techniques in a business setting.
Â 
What skills should you have?
To make the most out of this course, you should have familiarity with programming on a Python development environment, as well as fundamental understanding of Data Cleaning, Exploratory Data Analysis, Calculus, Linear Algebra, Probability, and Statistics.",1,1,1,5369,4.9,Refer to link for price,English,English,Coursera,IBM,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
Unsupervised Machine Learning,https://www.coursera.org/learn/ibm-unsupervised-machine-learning,"Data Science, Machine Learning",,"This course introduces you to one of the main types of Machine Learning: Unsupervised Learning. You will learn how to find insights from data sets that do not have a target or labeled variable. You will learn several clustering and dimension reduction algorithms for unsupervised learning as well as how to select the algorithm that best suits your data. The hands-on section of this course focuses on using best practices for unsupervised learning.By the end of this course you should be able to:
Explain the kinds of problems suitable for Unsupervised Learning approaches
Explain the curse of dimensionality, and how it makes clustering difficult with many features
Describe and use common clustering and dimensionality-reduction algorithms
Try clustering points where appropriate, compare the performance of per-cluster models
Understand metrics relevant for characterizing clusters

Who should take this course?
This course targets aspiring data scientists interested in acquiring hands-on experience with Unsupervised Machine Learning techniques in a business setting.
Â 
What skills should you have?
To make the most out of this course, you should have familiarity with programming on a Python development environment, as well as fundamental understanding of Data Cleaning, Exploratory Data Analysis, Calculus, Linear Algebra, Probability, and Statistics.",1,0,1,4926,4.8,Refer to link for price,English,English,Coursera,IBM,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
1C:Enterprise Junior Developer Course,https://www.coursera.org/learn/1c-enterprise-junior-developer-course,"Computer Science, Software Development",,"Completing this first level will enable you to rapidly create moderately complex business applications using 1C:Enterpriseâs large range of predefined objects. Take this course to learn the ins and outs of the 1C:Enterprise platform. It is the initial step in learning how to develop using the 1C:Enterprise platform. Complete it before taking other 1C:Enterprise application development courses.Course authors:
Konstantin Rupasov
20+ years of experience in the IT industry. Favorite languages and tools:
DBMS: MS SQL (deep understanding of query plans, transactions, isolation levels, locks, etc.), PostrgeSQL, Oracle DB, IBM DB2, MySQL, MongoDB
ML: Python, HDF5, Keras, Tensorflow
WEB: SOAP, REST, microservices
1C:Enterprise

Anton Shvyikovsky
Two years C++ professional programming experience creating solutions for mathematical and economical tasks.

Worked for more than two years creating software for international publishersâ online education platforms (Pearson, Macmillan, etc.). An author of  Junior and Mobile developer C++ courses for an educational platform.

With 1C Company since 2019, developing training courses on the 1C:Enterprise platform. 1C:Enterprise platform expert at the University Skills competition in Russia. Coach for international events 1C Skills Camp.",0,1,1,0,0.0,Refer to link for price,English,English,Coursera,Moscow Institute of Physics and Technology,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
2D image processing,https://www.coursera.org/learn/2d-image-processing,"Data Science, Data Analysis",,"The course is devoted to the usage of computer vision libraries like OpenCV in 2d image processing. The course includes sections of image filtering and thresholding, edge/corner/interest point detection, local and global descriptors, video tracking.Aim of the course:
â¢	Learning the main algorithms of traditional image processing
â¢	Thorough understanding of benefits and limitations of traditional image processing

Practical Learning Outcomes expected:
â¢	Mastering programming skills of image processing with computer vision libraries

This Course is part of HSE University Master of Computer Vision degree program. Learn more about the admission into the program and how your Coursera work can be leveraged if accepted into the program here  https://inlnk.ru/r381p.",0,1,1,0,0.0,Refer to link for price,English,English,Coursera,HSE University,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
3D Data Visualization for Science Communication,https://www.coursera.org/learn/data-visualization-science-communication,"Data Science, Data Analysis",,"This course is an introduction to 3D scientific data visualization, with an emphasis on science communication and cinematic design for appealing to broad audiences. You will develop visualization literacy, through being able to interpret/analyze (read) visualizations and create (write) your own visualizations.By the end of this course, you will:
-Develop visualization literacy.
-Learn the practicality of working with spatial data.
-Understand what makes a scientific visualization meaningful.
-Learn how to create educational visualizations that maintain scientific accuracy.
-Understand what makes a scientific visualization cinematic.
-Learn how to create visualizations that appeal to broad audiences.
-Learn how to work with image-making software. (for those completing the Honors track)",0,1,1,2868,0.0,Refer to link for price,English,English,Coursera,University of Illinois at Urbana-Champaign,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
3D Reconstruction - Multiple Viewpoints,https://www.coursera.org/learn/3d-reconstruction-multiple-viewpoints,"Computer Science, Algorithms",,"This course focuses on the recovery of the 3D structure of a scene from images taken from different viewpoints. We start by first building a comprehensive geometric model of a camera and then develop a method for finding (calibrating) the internal and external parameters of the camera model. Then, we show how two such calibrated cameras, whose relative positions and orientations are known, can be used to recover the 3D structure of the scene. This is what we refer to as simple binocular stereo. Next, we tackle the problem of uncalibrated stereo where the relative positions and orientations of the two cameras are unknown. Interestingly, just from the two images taken by the cameras, we can both determine the relative positions and orientations of the cameras and then use this information to estimate the 3D structure of the scene. Next, we focus on the problem of dynamic scenes. Given two images of a scene that includes moving objects, we show how the motion of each point in the image can be computed. This apparent motion of points in the image is called optical flow. Optical flow estimation allows us to track scene points over a video sequence. Next, we consider the video of a scene shot using a moving camera, where the motion of the camera is unknown. We present structure from motion that takes as input tracked features in such a video and determines not only the 3D structure of the scene but also how the camera moves with respect to the scene. The methods we develop in the course are widely used in object modeling, 3D site modeling, robotics, autonomous navigation, virtual reality and augmented reality.",0,0,1,0,0.0,Refer to link for price,English,English,Coursera,Columbia University,https://about.coursera.org/static/blueCoursera-646f855eae3d677239ea9db93d6c9e17.svg
