Course Name,Multi Categories,Course URL,Course Provider,Short Description,Long Description,Difficulty,Duration,Commitment,Number of Enrolled,Cost,Alternative Options,Language,Video Language,Prerequisites,
4G Network Essentials,Engineering,https://www.edx.org/course/4g-network-essentials,,"Advance your telecom career by learning how 4G networks enable internet access for smartphone users anytime, anywhere.","4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work?
Ideal for network engineers, sales engineers, application developers, and many other telecoms pros, this course will help you to understand the technology behind the apps and devices we use every day.
You’ll get a solid overview of LTE/EPC (Long Term Evolution / Evolved Packet Core) 4G networks, how they work, how the network architecture is designed, and which protocols are used.
First, you’ll gain exposure to the global architecture of the network, how the radio interface works, and how security is guaranteed.
Then you’ll dive into the operational side. What is a bearer? How is it quickly configured and released? How does 4G handle millions of terminals that are on the move all the time?
Over the next few years, the advent of 5G will see over 20 billion mobile terminals go online.
By mastering the key concepts of 4G, you can be ready for the next chapter in mobile networking—and the jobs of the future.
Whether you’re a graduate student or already in a professional role, targeting a career move or just building your skills, you’ll gain plenty of detailed, practical knowledge that you can put into practice immediately.
This coursehas received financial support from the Patrick & Lina Drahi Foundation.",Intermediate,6 weeks,3–4 hours per week,,Free,"₹ 4,007",English,English,," BSc degree (algebra, basic mathematics concepts)
Network fundamentals (packet switching, layer approach, IP concepts, IP addressing) are addressed in Digital Networks Essentials."
5G Deployment,"Computer Science, Engineering",https://www.edx.org/course/5g-deployment,,"Learn about 5G deployment, 5G Radio Access Network Virtualisation, 5G and Multi-Access Edge Computing for disaggregated core, 5G Network Orchestration, and examine 5G deployment case studies.","In this course, you will learn about 5G deployment. The course is designed with a hands-on approach to help learners understand various important aspects of 5G relevant to 5G deployment, including 5G Radio Access Network (RAN) Virtualisation, network slicing, and Multi-Access Edge Computing (MEC) for disaggregated core. 
The course will also explore 5G deployment challenges and private 5G deployment aspects in Industrial Internet of Things (IIoT) settings, including sectors such as mining and healthcare. The aim of this course is to equip learners with industry-specific advanced skills in 5G. 
The course is designed by an academic team from Curtin University that has extensive teaching experience and a successful track record of development of various MOOC courses, including the Micromasters Program in Internet of Things (with over a quarter of a million learners) and the Professional Certificate Program in Software Defined Networking (SDN).",Introductory,6 weeks,4–6 hours per week,,Free,"₹ 16,273",English,English," There are no pre-requisites for this course. However, it is recommended that you complete our first course in this series: 5G1x – 5G Essentials , to successfully complete the Professional Certificate in 5G Networking.",
5G Essentials,"Computer Science, Engineering",https://www.edx.org/course/5g-essentials,Curtin University,"Learn about 5G Networking, 5G architecture, and various use cases of 5G.","In this course, you will learn and explore about 5G networking and discover how 5G has evolved from its predecessors 4G and 3G. You will learn about new 5G radio, 5G spectrum sharing and end-to-end 5G network architecture. The course has been designed to provide you better understanding of 5G core service requirements including enhanced Mobile Broadband (eMBB), Mass Connectivity, and Ultra Reliable and Low Latency Communications using various use cases.",Introductory,7 weeks,4–6 hours per week,,Free,"₹ 16,273",English,English, There are no prerequisites for this course.,
AI Applications with Watson,Computer Science,https://www.edx.org/course/AI-applications-with-watson,,"Turbocharge your chatbot's IQ and AI capabilities with IBM Watson Discovery and powered by Watson Assistant. Learn to use and program tools and assitant services such as Tone Analyzer and Personality Insights to build queries, extract information big data repositories.","Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge!
By enrolling in this course, chances are you've studied artifical intelligence, built chatbots and have perhaps even used Watson Assistant along the way. But did you know that you can turbocharge your chatbot's IQ with IBM Watson Discovery, a service designed to reveal the hidden value in your data? Discovery specializes in taking your data--structured or unstructured--and extracting from it answers and patterns.
For example, if you have a large repository, the contents of which could answer customer questions, you've got the makings of a great FAQ chatbot.
In this course, you'll learn how to build queries in Discovery, which allows you to surface answers and patterns from large repositories of data. You'll next learn to use Discovery to extract insights from a set of hotel reviews. Then, to make that data come to life, you'll integrate Discovery with other Watson services to create a chatbot that can tell you about the best hotels in a certain US city. By using these Watson services, you'll add more layers of analysis to help you find the best hotel.
You'll build your chatbot application with the following Watson services:

Assistant
Discovery
Tone Analyzer
Personality Insights

By the end of this course, you will have built a fully functioning AI-powered chatbot. Moreover, you should be able to apply the services taught here to your own data sets, enabling you to create sophisticated chatbots of your own.",Intermediate,3 weeks,2–4 hours per week,"13,695",Free,"₹ 8,096",English,English," This course provides an introduction to developing and deploying cognitive applications. You should have basic knowledge of object-oriented programming, how to use the command line, Node.js, and IBM Watson Assistant (formerly known as Watson Conversation). 
You also need: 

IBM Cloud account
Git
IBM Cloud command line tool
A text or code editor

If you want to build the chatbot application locally, install Node.js and npm. 
If not familiar with IBM Watson Assistant, take the How to Build Chatbots and Make Money course first.",
AI Chatbots without Programming,Computer Science,https://www.edx.org/course/AI-chatbots-without-programming,,"Chatbots are increasingly in demand among global businesses. This course will teach you how to build, analyze, deploy and monetize chatbots - with the help of IBM Watson and the power of AI.","Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge!
Special Offer : This course includes a great offer from IBM: One year of Watson Assistant services to power 10 chatbots at no charge. The perfect way to kickstart your chatbot building business!
Chatbots are one of the most exciting and in-demand topics in tech. Businesses around the world are increasingly showing an interest in their potential for cost-saving and improving customer service availability.
In this course, you'll learn how to build chatbots powered by Watson and how to approach making money by selling chatbots to clients. We'll coverways to sell chatbots to prospective clients online and offline. We'll explore how to plan and build chatbots using a visual tool provided by IBM. We'll offer methods for testing, analyzing, and improving your chatbots. And we'll teach you how to deploy your chatbots to websites via a handy WordPress plugin.
Leveraging the AI power of Watson Assistant, you will be able toaccomplish all this without the need to write any code!",Introductory,2 weeks,2–4 hours per week,"48,488",Free,"₹ 8,096",English,English, None,
"Data Ethics, AI and Responsible Innovation",Computer Science,https://www.edx.org/course/Data-Ethics-AI-and-Responsible-Innovation,,"Our future is here and it relies on data. Medical robots, smart homes and cities, predictive policing, artificial intelligences – all are fuelled by data and all promise new benefits to society. But will these innovations benefit everyone? Who stands to gain and who is put at risk? How can we ensure that data is part of a just and sustainable world?","How much would you like your smart home to know about you? Has your data been harvested and used for political advertising on social media? Would you be happy to be profiled by a predictive policing AI?
As we create more data-driven technologies, those issues become increasingly urgent. We must begin to ask not only ‘what can we do?’, but also ‘what should we do?’ How should we design new technologies to make sure they are used for good, not bad purposes?
The ‘good’, the ‘bad’, and the ‘should’ are a domain of ethics, and a basis for other important concepts such as justice, fairness, rights, respect. They further inform the law and what is legal. Finally, they are at the roots of an extremely important currency in the modern economy: trust.
This story-driven course is taught by the leading experts in data science, AI, information law, science and technology studies, and responsible research and innovation, and informed by case studies supplied by the digital business frontrunners and tech companies. We will look at real-world controversies and ethical challenges to introduce and critically discuss the social, political, legal and ethical issues surrounding data-driven innovation, including those posed by big data, AI systems, and machine learning systems. We will drill down into case studies, structured around core concerns being raised by society, governments and industry, such as bias, fairness, rights, data re-use, data protection and data privacy, discrimination, transparency and accountability. Throughout the course, we will emphasise the importance of being mindful of the realities and complexities of making ethical decisions in a landscape of competing interests.
We will engage with data-based contexts such as facial recognition, predictive policing, medical screening, smart homes and cities, banking, and AI, to explore their social implications and the tools required to minimise harm, promote fairness, and safeguard and increase human autonomy and well-being. We address cutting edge issues being grappled with by practitioners and new approaches emerging in industry and offer the opportunity for participants to develop and feedback solutions.
Completing this course will help you understand the challenges we are facing, and inspire you to design, criticise, and develop better intelligent systems to shape our future.",Intermediate,7 weeks,3–4 hours per week,,Free,"₹ 4,007",English,English, General IT literacy and secondary school maths.,
Introduction to Digital Twin and Applications,Engineering,https://www.edx.org/course/Introduction-to-Digital-Twin-and-Applications,,"Digital twins are gaining popularity, as a simulation technique that integrates interdisciplinary, multi-physical quantity, multiscale, and multi-probability. Digital twins are used to monitor, examine, and analyze physical assets like buildings, processes, and systems.","In the fourth industrial revolution, the digital twin is one of the critical technologies that is gaining prominence. The digital twin is the simulation technology that integrates multidisciplinary, multi-physical quantities, multi scales, and multi-probabilities by making full use of a physical model, sensor update, operation history, and other data. During this course, learners will engage in how to create digital twins and utilize them to model, simulate, and manage industrial processes. Digital twins give information on every component of a manufacturing process, allowing you to improve the efficiency and efficacy of your production line and equipment. It may be used to monitor, study, and analyze physical assets like buildings, processes, and systems, as well as to conduct research and development.",Introductory,5 weeks,2–4 hours per week,,Free,"₹ 8,096",English,English, None,
Managing Conflicts on Projects with Cultural and Emotional Intelligence,Engineering,https://www.edx.org/course/PMCOMM03,,Great program managers understand and heal bad communication habits and conflicts that arise within project teams and stakeholders. Learn how by leveraging emotional and cultural intelligence using the Coordinated Management of Meaning (CMM).,"Every program and project has a social world. The program managers, project managers, project teams, and stakeholders mutually agree on roles and interact based on those roles. 
Great program managers sense, manage, and influence the social worlds across their projects. They bring order and understanding through conflict management and conflict resolution. Success is not guaranteed, and often teams clash as a new social order is established on every project. They heal divides that can grow under the stress of projects and increase the team’s problem solving ability. 
Dr. Pearce, the inventor of the Coordinated Management of Meaning (CMM), explains the social world as a “dance between the two faces of the communication process: coordinating actions and making/managing meaning. A social world is the site where speech acts, episodes and forms of communication, selves and forms of consciousness, and relationships and minds are made.”
Our cultural differences and emotions significantly shape our social worlds. 
The program and project manager with good emotional intelligence and cultural intelligence (EI/CI) can better understand and navigate the social worlds of the project team and the stakeholders. High EI/CI also aids in creating understanding in program/project management communications. A program manager or project manager with high EI/CI is more adept at creating understanding because they are self-aware while understanding other’s emotions.Thus, the program manager or project manager can test if the recipient of his or her communication has the requisite know-what, know-how, and know-why understanding of the intended messages.
Program managers and project managers with high EI/CI will be perceived as having a high ethos. Team members will see the high emotional intelligence and cultural intelligence even in the manager’s nonverbal communication. Being more aware of our feelings and other people’s feelings helps enhance our connection to others and make us more credible. Program managers and Project managers with high EI/CI can use pathos more effectively and make the logos portion of their communication more effective. The right balance of ethos, pathos, and logos makes the project manager more persuasive.
Along with increasing the program manager or project manager’s EI/CI, this course will aid the manager in using the tools of CMM. Dr. Pearce created Coordinated Management of Meaning (CMM) in the mid-1970s. Over the years, CMM practitioners have created methods and tools to make the communication perspective visible. One such tool is SEAVA, which is an acronym for Storyboarding, Enriching, Analyzing, Visioning, and Acting. You can use the SEAVA tool to examine communication problems among your project team members and to generate a solution.
Understanding the different social worlds of your program and its project team members and stakeholders will help you create persuasive communications, have a positive impact, and increase understanding among the project team members and stakeholders. CMM will help you become a master of communication and persuasion.",Introductory,5 weeks,3–5 hours per week,"11,324",Free,"₹ 16,273",English,English, None,
Designing Project Information Hubs for Program and Project Performance,Engineering,https://www.edx.org/course/PMCOMM04,,The most valuable resource on a project is timely information. Why? Because information changes the decisions that determine project outcomes. Learn the planning skills and techniques needed to manage information across complex programs or projects.,"Communication complexity rapidly increases even with a few program or project team members and stakeholders. Project managers are the “hub” of their project communication. Program managers are the “hub” of their organization communication to meet strategic goals. Managing these networks is essential whether you manage traditional programs or projects. Or agile programs and projects.
Program managers have two additional challenges. First, they must empower their project managers with skills, processes, and assets for information management. Second they must sense and integrate the key performance data to ensure strategic objectives are met, and project processes are improved across the program. 
As you learned from the Project Management Institute, Inc.'s (PMI)""A Guide to the Project Management Body of Knowledge"" (PMBOK) when preparing for the PMP exam, the number of communication channels grows geometrically with team size. If there are “n” communicators, then the number of communication channels is n*(n-1)/2. That means five team members have 10 channels, but 10 team members have 45 channels to manage. That’s over four times as many channels for doubling the size of a small team! 
If you imagine each communication channel as a radio station, you can see how quickly the program or project manager can be overwhelmed with all the information coming in. As you gain more program or project management experience, what you learned for the PMP certification or similar professional certification is not sufficient. This course will help you go beyond the knowledge you needed to become a certified project manager. 
This applies to all project leaders. Whether you are a just getting started as a Certified Associate in Project Management (CAPM), or a seasoned Project Management Professional (PMP), you need to manage a lot of information transfer and exchange. And this challenge is even greater for agilists, like certified scrum masters (CSMs) and PMI-ACP holders. No matter the scaling methods, having timely information is critical for agile teams at scale, who need to move fast without driving up overhead in team-to-team communication as technical scope changes. 
In this program and project management training course, you will learn effective and efficient project management tools to receive and transmit program and project-level information. Program managers and project managers need to ensure that information flows freely and where the information can do the most benefit. This online course will teach you how to build communication networks for your program or project’s success. Gain 10 professional development units (PDUs) while sharpening your program or project management skills.",Introductory,4 weeks,3–5 hours per week,,Free,"₹ 16,273",English,English, None,
Storytelling That Delivers Program and Project Outcomes,Engineering,https://www.edx.org/course/PMCOMM05,,"Storytelling is how leaders lead other leaders. Tell your project’s story to inspire your project teams, encourage your stakeholders, and gain customer commitment to project and program success.","Program and project managers are master storytellers. They have to be in order to weave high-priority information into a memorable narrative for their people. Customers must commit to and understand their goals, and how the program is meeting them. Stakeholders need to trust the direction and stay engaged with the program intent. Program and project teams and leaders, need to understand what matters and how their work connects to the greater whole.
Storytelling is not a part of the Project Management Institute, Inc's (PMI) ""A Guide to the Project Management Body of Knowledge'' (PMBOK). Storytelling is not something that Certified Associate In Project Management (CAPM), Project Management Professional (PMP), PMI-Agile Certified Practitioner (PMI-ACP), certified scrum masters, or other certified project manager credential holders will encounter on an exam. Storytelling is something that successful program or project managers learn from years of experience. If storytelling is not on the PMP exam or similar project management certification exams, why should you bother learning how to tell good stories?
Because, human brains are naturally designed for stories. We have brain structures devoted to making sense of the world in cause-effect terms. Good stories are like flight simulators in that you can try out various approaches to a problem before tackling the real problem. Risk management for programs and projects is more effective when using compelling narratives. Stories are also effective ways to transmit large amounts of information to your project teams and stakeholders. People can remember more information and act effectively on that information. For agile project management, stories are how customers communicate their requirements to the agile project team. Stories are the foundation of persuasive communication and will help you become an expert communicator.
In this online course of the Program Management and the Art of Communication certificate program, you will learn how great program and project managers use their storytelling skills to create compelling project visions, persuade stakeholders, and design effective risk management strategies.
Earn 10 professional development units (PDUs) while completing the only professional certification program that helps you develop storytelling as part of your collection of project management tools.",Introductory,5 weeks,3–5 hours per week,,Free,"₹ 16,273",English,English, None,
