"Course Title","Course URL","Duration","Rating"
"Cloud Audit Academy FDW Interactive Modules","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14755/cloud-audit-academy-fdw-interactive-modules","2h 00m","5.0"
"Performance Tuning on Amazon DocumentDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14394/performance-tuning-on-amazon-documentdb","1h 00m","5.0"
"Architecting on AWS - Accelerator - Online Course Supplement","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13542/architecting-on-aws-accelerator-online-course-supplement","4h 00m","5.0"
"AWS Storage Gateway Deep Dive: Amazon FSx File Gateway","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12921/aws-storage-gateway-deep-dive-amazon-fsx-file-gateway","1h 15m","5.0"
"AWS Storage Gateway Deep Dive: Tape Gateway","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12449/aws-storage-gateway-deep-dive-tape-gateway","1h 15m","5.0"
"AWS Storage Gateway Deep Dive: Amazon S3 File Gateway","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12445/aws-storage-gateway-deep-dive-amazon-s3-file-gateway","1h 05m","5.0"
"AWS Storage Gateway Deep Dive: Volume Gateway","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12441/aws-storage-gateway-deep-dive-volume-gateway","1h 15m","5.0"
"Securing Data in Amazon Elastic File System (Amazon EFS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12241/securing-data-in-amazon-elastic-file-system-amazon-efs","55m 00s","5.0"
"Designing and Deploying an Amazon Elastic File System (Amazon EFS) Solution","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12240/designing-and-deploying-an-amazon-elastic-file-system-amazon-efs-solution","1h 20m","5.0"
"Managing, Monitoring, and Optimizing your Amazon Elastic File System (Amazon EFS) Solution","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12239/managing-monitoring-and-optimizing-your-amazon-elastic-file-system-amazon-efs-solution","55m 00s","5.0"
"Troubleshooting: Amazon Elastic Kubernetes Service (Amazon EKS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/11276/troubleshooting-amazon-elastic-kubernetes-service-amazon-eks","1h 00m","5.0"
"Design Patterns for AWS Step Functions","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10471/design-patterns-for-aws-step-functions","1h 30m","5.0"
"Managing Applications at Scale with Amazon ECS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10468/managing-applications-at-scale-with-amazon-ecs","1h 30m","5.0"
"Observing, Troubleshooting, and Optimizing Workloads Running on Amazon ECS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10467/observing-troubleshooting-and-optimizing-workloads-running-on-amazon-ecs","2h 30m","5.0"
"Deep Dive: Amazon Elastic Block Store (Amazon EBS) Cost Optimization","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10143/deep-dive-amazon-elastic-block-store-amazon-ebs-cost-optimization","30m 00s","5.0"
"Deep Dive: Managing and Monitoring Amazon Elastic Block Store (Amazon EBS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10076/deep-dive-managing-and-monitoring-amazon-elastic-block-store-amazon-ebs","1h 00m","5.0"
"Deep Dive: Amazon Elastic Block Store (Amazon EBS) Performance Optimization","https://explore.skillbuilder.aws/learn/course/external/view/elearning/10073/deep-dive-amazon-elastic-block-store-amazon-ebs-performance-optimization","1h 00m","5.0"
"Deep Dive: Architecting with Amazon Elastic Block Store (Amazon EBS)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9344/deep-dive-architecting-with-amazon-elastic-block-store-amazon-ebs","2h 20m","5.0"
"Managing the Application Lifecycle in Amazon ECS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/9232/managing-the-application-lifecycle-in-amazon-ecs","1h 30m","5.0"
"Building Enterprise Architectures in Amazon ECS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/8933/building-enterprise-architectures-in-amazon-ecs","1h 30m","5.0"
"Amazon Simple Storage Service (Amazon S3) Business Continuity and Disaster Recovery","https://explore.skillbuilder.aws/learn/course/external/view/elearning/5906/amazon-simple-storage-service-amazon-s3-business-continuity-and-disaster-recovery","50m 00s","5.0"
"Advanced Testing Practices Using AWS DevOps Tools","https://explore.skillbuilder.aws/learn/course/external/view/elearning/5741/advanced-testing-practices-using-aws-devops-tools","2h 30m","5.0"
"Deep Dive into AWS IoT Authentication and Authorization","https://explore.skillbuilder.aws/learn/course/external/view/elearning/5667/deep-dive-into-aws-iot-authentication-and-authorization","1h 00m","5.0"
"Deep Dive on Amazon Rekognition: Building Computer Visions Based Smart Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/5389/deep-dive-on-amazon-rekognition-building-computer-visions-based-smart-applications","3h 30m","5.0"
"Modernize .NET Applications – Infrastructure as Code and CI/CD","https://explore.skillbuilder.aws/learn/course/external/view/elearning/5106/modernize-net-applications-infrastructure-as-code-and-cicd","1h 30m","5.0"
"Amazon Simple Storage Service (Amazon S3) Cost Optimization","https://explore.skillbuilder.aws/learn/course/external/view/elearning/4983/amazon-simple-storage-service-amazon-s3-cost-optimization","1h 00m","5.0"
"Securing and Protecting Your Data in Amazon Simple Storage Service (Amazon S3)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/4892/securing-and-protecting-your-data-in-amazon-simple-storage-service-amazon-s3","1h 40m","5.0"
"Anomaly Detection on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/4866/anomaly-detection-on-aws","1h 25m","5.0"
