"Course Title","Course URL","Duration","Rating"
"Getting Started with AWS Mainframe Modernization Refactor with AWS Blu Age","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15147/getting-started-with-aws-mainframe-modernization-refactor-with-aws-blu-age","1h 00m","5.0"
"Cloud for CEOs","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15120/cloud-for-ceos","10m 00s","5.0"
"Getting Started with AWS Mainframe Modernization Service","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15119/getting-started-with-aws-mainframe-modernization-service","1h 00m","5.0"
"Introduction to Robotics on AWS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15053/introduction-to-robotics-on-aws","30m 00s","5.0"
"Getting Started with Bottlerocket","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15050/getting-started-with-bottlerocket","30m 00s","5.0"
"AWS Free Tier: Introduction to Managing Services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15013/aws-free-tier-introduction-to-managing-services","10m 00s","5.0"
"AWS Free Tier: Introduction to Offerings","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15012/aws-free-tier-introduction-to-offerings","10m 00s","5.0"
"AWS Free Tier: Introduction to Monitoring Services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15010/aws-free-tier-introduction-to-monitoring-services","10m 00s","4.0"
"Getting Started with AWS Cloud Essentials","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15009/getting-started-with-aws-cloud-essentials","1h 00m","5.0"
"Getting Started with Amazon QuickSight","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14908/getting-started-with-amazon-quicksight","1h 00m","5.0"
"Getting Started with AWS Audit Manager","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14905/getting-started-with-aws-audit-manager","1h 30m","5.0"
"AWS Cloud Economics for Healthcare","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14887/aws-cloud-economics-for-healthcare","1h 20m","5.0"
"Getting Started with AWS IoT SiteWise","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14873/getting-started-with-aws-iot-sitewise","1h 00m","5.0"
"Getting Started with AWS Control Tower","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14823/getting-started-with-aws-control-tower","1h 00m","5.0"
"Getting Started with Amazon Textract","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14791/getting-started-with-amazon-textract","1h 00m","5.0"
"Mainframe Modernization Patterns and Best Practices","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14761/mainframe-modernization-patterns-and-best-practices","1h 00m","5.0"
"Approach to Mainframe Migration and Modernization","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14759/approach-to-mainframe-migration-and-modernization","1h 00m","5.0"
"AWS Skills Centers: Becoming a Cloud Practitioner - Half-Quiz Review","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14705/aws-skills-centers-becoming-a-cloud-practitioner-half-quiz-review","1h 00m","5.0"
"AWS Skills Centers: Becoming a Cloud Practitioner - Mini-Quiz Review","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14704/aws-skills-centers-becoming-a-cloud-practitioner-mini-quiz-review","20m 00s","5.0"
