"Course Title","Course URL","Cost","Duration","Rating"
".NET Workloads on AWS Lambda","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15308/net-workloads-on-aws-lambda","Free","1h 30m","5.0"
"Amazon EC2 Observability, Monitoring, and Troubleshooting","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15115/amazon-ec2-observability-monitoring-and-troubleshooting","Free","2h 00m","5.0"
"Data Modeling for Amazon DocumentDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15024/data-modeling-for-amazon-documentdb","Free","1h 00m","5.0"
"Building Event-Driven Applications With Amazon EventBridge (Includes Labs)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15017/building-event-driven-applications-with-amazon-eventbridge-includes-labs","Requires Subscription","3h 00m","5.0"
"Building Event-Driven Applications With Amazon EventBridge","https://explore.skillbuilder.aws/learn/course/external/view/elearning/15008/building-event-driven-applications-with-amazon-eventbridge","Free","2h 00m","4.0"
"Build with Amazon MemoryDB for Redis","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14997/build-with-amazon-memorydb-for-redis","Free","1h 00m","5.0"
"AWS IoT Business Opportunities for Telecom Operators","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14907/aws-iot-business-opportunities-for-telecom-operators","Free","45m 00s","5.0"
"Mainframe Workloads Fast Track to Agility","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14906/mainframe-workloads-fast-track-to-agility","Free","1h 15m","5.0"
".NET Workloads on AWS App Runner","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14897/net-workloads-on-aws-app-runner","Free","2h 00m","5.0"
"AWS Best Practices for Hybrid Cloud Adoption","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14886/aws-best-practices-for-hybrid-cloud-adoption","Free","1h 00m","5.0"
"Data Modeling for Amazon ElastiCache for Redis","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14775/data-modeling-for-amazon-elasticache-for-redis","Free","45m 00s","5.0"
"Right Size Your Amazon EC2 Workload","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14765/right-size-your-amazon-ec2-workload","Free","2h 00m","5.0"
"AWS Observability","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14688/aws-observability","Free","5h 00m","5.0"
"Troubleshooting: Amazon Connect","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14680/troubleshooting-amazon-connect","Free","1h 00m","5.0"
"Amazon EKS for Developers - Online Course Supplement","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14608/amazon-eks-for-developers-online-course-supplement","Free","1h 00m","4.0"
"Amazon Connect: Implementing Chat in Connect","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14504/amazon-connect-implementing-chat-in-connect","Free","1h 00m","5.0"
"AWS Migration Hub Primer","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14473/aws-migration-hub-primer","Free","1h 30m","5.0"
"Amazon Connect: Implementing Task on Connect","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14209/amazon-connect-implementing-task-on-connect","Free","2h 00m","5.0"
"AWS for Games - Databases","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14161/aws-for-games-databases","Free","2h 00m","5.0"
"Troubleshooting: Amazon Simple Notification Service","https://explore.skillbuilder.aws/learn/course/external/view/elearning/14124/troubleshooting-amazon-simple-notification-service","Free","1h 00m","5.0"
"Troubleshooting: Amazon CloudWatch","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13812/troubleshooting-amazon-cloudwatch","Free","1h 00m","5.0"
"Connecting Systems and Machines to AWS for Industrial Manufacturing","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13797/connecting-systems-and-machines-to-aws-for-industrial-manufacturing","Free","45m 00s","5.0"
"Building with AWS IoT SiteWise","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13693/building-with-aws-iot-sitewise","Free","2h 15m","5.0"
"Introduction to AWS Cloud Game Development","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13692/introduction-to-aws-cloud-game-development","Free","1h 00m","5.0"
"Troubleshooting: Simple Storage Service (S3)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13527/troubleshooting-simple-storage-service-s3","Free","1h 00m","5.0"
"Troubleshooting: Amazon Virtual Private Cloud (Amazon VPC)","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13490/troubleshooting-amazon-virtual-private-cloud-amazon-vpc","Free","30m 00s","5.0"
"Troubleshooting: Amazon Simple Email Service","https://explore.skillbuilder.aws/learn/course/external/view/elearning/13064/troubleshooting-amazon-simple-email-service","Free","1h 00m","5.0"
"Build with Amazon EC2","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12996/build-with-amazon-ec2","Free","2h 30m","5.0"
"Running High Performance Applications with Amazon FSx","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12930/running-high-performance-applications-with-amazon-fsx","Free","1h 00m","5.0"
"Moving to the Cloud with Amazon FSx","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12913/moving-to-the-cloud-with-amazon-fsx","Free","1h 00m","5.0"
"Build with Amazon FSx for OpenZFS","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12846/build-with-amazon-fsx-for-openzfs","Free","1h 00m","5.0"
"Deploying Serverless Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12836/deploying-serverless-applications","Free","1h 30m","5.0"
"Architecting Serverless Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12716/architecting-serverless-applications","Free","2h 00m","5.0"
"Designing Event-Driven Architectures","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12715/designing-event-driven-architectures","Free","2h 00m","5.0"
"Security and Observability for Serverless Applications","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12714/security-and-observability-for-serverless-applications","Free","1h 30m","5.0"
"Scaling Serverless Architectures","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12713/scaling-serverless-architectures","Free","1h 30m","5.0"
"AWS Well-Architected Considerations for Financial Services","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12692/aws-well-architected-considerations-for-financial-services","Free","45m 00s","5.0"
"Troubleshooting: Amazon DynamoDB","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12617/troubleshooting-amazon-dynamodb","Free","45m 00s","5.0"
"Troubleshooting: AWS VPN","https://explore.skillbuilder.aws/learn/course/external/view/elearning/12458/troubleshooting-aws-vpn","Free","1h 00m","4.0"
