Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Getting Started with AWS Mainframe Modernization Refactor with AWS Blu Age,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15147/getting-started-with-aws-mainframe-modernization-refactor-with-aws-blu-age,"Computer Science , Cloud , AWS ,Cloud Computing",,,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Cloud for CEOs,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15120/cloud-for-ceos,"Computer Science , Cloud , AWS ,Cloud Computing","This course provides CEOs and presidents a high-level picture of cloud computing technology. Learners explore what cloud is, why they should consider cloud, and how to get started on the cloud adoption journey.","This course provides CEOs and presidents a high-level picture of cloud computing technology. Learners explore what cloud is, why they should consider cloud, and how to get started on the cloud adoption journey.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with AWS Mainframe Modernization Service,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15119/getting-started-with-aws-mainframe-modernization-service,"Computer Science , Cloud , AWS ,Cloud Computing","The AWS Mainframe Modernization service helps you migrate and modernize your mainframe applications to Amazon Web Services (AWS) managed runtime environments. Through two main migration patterns, automated refactor and replatform, the service provides tools and resources to help you plan and implement mainframe migration and modernization on AWS.","The AWS Mainframe Modernization service helps you migrate and modernize your mainframe applications to Amazon Web Services (AWS) managed runtime environments. Through two main migration patterns, automated refactor and replatform, the service provides tools and resources to help you plan and implement mainframe migration and modernization on AWS.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Introduction to Robotics on AWS,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15053/introduction-to-robotics-on-aws,"Computer Science , Cloud , AWS ,Cloud Computing","The robotics industry is growing at a rapid rate, creating a need for people with the varied skills required for robotics (mechanics, electrical, software, and more). In this course, you will learn how to use the cloud and Amazon Web Services (AWS) to help accelerate your robotics development.","The robotics industry is growing at a rapid rate, creating a need for people with the varied skills required for robotics (mechanics, electrical, software, and more). In this course, you will learn how to use the cloud and Amazon Web Services (AWS) to help accelerate your robotics development.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Bottlerocket,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15050/getting-started-with-bottlerocket,"Computer Science , Cloud , AWS ,Cloud Computing","Bottlerocket is a Linux-based, open-source operating system that is purpose-built by Amazon Web Services (AWS) for running containers. Bottlerocket includes only the essential software required to run containers and helps secure the underlying software. With Bottlerocket, customers can reduce maintenance overhead and automate their workflows by applying configuration settings consistently as nodes are upgraded or replaced.","Bottlerocket is a Linux-based, open-source operating system that is purpose-built by Amazon Web Services (AWS) for running containers. Bottlerocket includes only the essential software required to run containers and helps secure the underlying software. With Bottlerocket, customers can reduce maintenance overhead and automate their workflows by applying configuration settings consistently as nodes are upgraded or replaced.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
AWS Free Tier: Introduction to Managing Services,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15013/aws-free-tier-introduction-to-managing-services,"Computer Science , Cloud , AWS ,Cloud Computing","By the end of this course, you will be able to manage your AWS Free Tier services when approaching usage limits and develop the ability to select your transition path out of AWS Free Tier. You will also be able to make informed decisions when choosing to either terminate a service or continue using a service and transition to a paid tier.","By the end of this course, you will be able to manage your AWS Free Tier services when approaching usage limits and develop the ability to select your transition path out of AWS Free Tier. You will also be able to make informed decisions when choosing to either terminate a service or continue using a service and transition to a paid tier.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
AWS Free Tier: Introduction to Offerings,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15012/aws-free-tier-introduction-to-offerings,"Computer Science , Cloud , AWS ,Cloud Computing","With AWS Free Tier, customers can explore and try out Amazon Web Services (AWS) services free of charge up to specified limits for applicable services. By the end of this course, you will be able to differentiate between the AWS Free Tier offerings and know how to locate offers. You will also be able to identify offer details and usage limits.","With AWS Free Tier, customers can explore and try out Amazon Web Services (AWS) services free of charge up to specified limits for applicable services. By the end of this course, you will be able to differentiate between the AWS Free Tier offerings and know how to locate offers. You will also be able to identify offer details and usage limits.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
AWS Free Tier: Introduction to Monitoring Services,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15010/aws-free-tier-introduction-to-monitoring-services,"Computer Science , Cloud , AWS ,Cloud Computing","This course introduces tools to monitor your AWS Free Tier services to stay within your usage limits. By the end of this course, you will be able to monitor your AWS Free Tier services when approaching usage limits. You will also be able to explain how these cloud financial management tools can assist you with monitoring your AWS Free Tier services.","This course introduces tools to monitor your AWS Free Tier services to stay within your usage limits. By the end of this course, you will be able to monitor your AWS Free Tier services when approaching usage limits. You will also be able to explain how these cloud financial management tools can assist you with monitoring your AWS Free Tier services.",0,0,1,0,4.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with AWS Cloud Essentials,https://explore.skillbuilder.aws/learn/course/external/view/elearning/15009/getting-started-with-aws-cloud-essentials,"Computer Science , Cloud , AWS ,Cloud Computing",,,0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
Getting Started with Amazon QuickSight,https://explore.skillbuilder.aws/learn/course/external/view/elearning/14908/getting-started-with-amazon-quicksight,"Computer Science , Cloud , AWS ,Cloud Computing","Amazon QuickSight is a cloud-scale business intelligence (BI) service that you can use to create and publish interactive dashboards. You can access these from browsers or mobile devices. As a fully managed cloud-based service, QuickSight combines data from many different sources and provides user management tools that you can use to scale from a few users to millions.","Amazon QuickSight is a cloud-scale business intelligence (BI) service that you can use to create and publish interactive dashboards. You can access these from browsers or mobile devices. As a fully managed cloud-based service, QuickSight combines data from many different sources and provides user management tools that you can use to scale from a few users to millions.",0,0,1,0,5.0,0,English,English,AWS,AWS Skill Builder,https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Flogos%2Fproviders%2Faws-skill-builder-hz.png?auto=format&ixlib=php-3.3.1&s=93a153eaf2cf7abbc130afaa0cc34197
