Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
DevOps Engineer Masters Program,https://www.edureka.co/devops-engineer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=2154&objPos=1,Computer Science,"Includes 4 Live courses: DevOps, Docker, AWS DevOps and more.","DevOps Engineer Masters Program will make you proficient in DevOps principles like CI/CD, Continuous Monitoring, and Continuous Delivery, using tools like Puppet, Nagios, Chef, Docker, Git & Jenkins. It includes training on Linux, Python, Docker, AWS DevOps, and Splunk. DevOps Engineer certification training course curriculum created by extensive research on 5000+ job descriptions across the globe to make you a certified DevOps expert.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Microsoft Power BI Certification Training Course,https://www.edureka.co/power-bi-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1910&objPos=2,Computer Science,"Includes: DAX, Data insights, Power BI Service, Report Servers & more",,0,1,1,50035.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
DevOps Certification Training Course,https://www.edureka.co/devops-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1414&objPos=3,Computer Science,"Includes Git, Jenkins, Ansible, Docker, Kubernetes, Terraform and more.",,0,1,1,142132.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Full Stack Web Development Internship Program,https://www.edureka.co/full-stack-web-development?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1113&objPos=4,Computer Science,"Learn Node.JS, React, Express, HTML,CSS etc & build your own product",,0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Professional Certificate Program in DevOps,https://www.edureka.co/purdue-devops?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=2007&objPos=5,Computer Science,"Includes Source Code Management, Continuous Integration, and more",,0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Cloud Architect Masters Program,https://www.edureka.co/cloud-architect-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=457&objPos=6,Computer Science,"Includes 4 Live courses: AWS, AWS DevOps, DevOps and more.","Cloud Architect Masters Program makes you proficient in designing, planning, and scaling cloud implementation. It includes training in Python, Cloud Computing, AWS Architectural Principles, Migrating Applications on Cloud and DevOps. The curriculum has been determined by extensive research on 5000+ job descriptions across the globe.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
AWS Solutions Architect Certification Training Course,https://www.edureka.co/aws-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1981&objPos=7,Computer Science,"Learn AWS EC2, Route 53, Lambda, & many more",,0,1,1,143116.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Data Science and Machine Learning Internship Program,https://www.edureka.co/data-science-and-machine-learning-program?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1752&objPos=8,Computer Science,"Live Courses: Data Science, Python, Machine Learning, Tableau & more",,0,0,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
PMP® Certification Training Course,https://www.edureka.co/pmp-certification-exam-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1321&objPos=9,Computer Science,"Includes: Project Planning, Governance, Stakeholder Engagement & more",,0,1,0,55910.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Cyber Security and Ethical Hacking Internship Program,https://www.edureka.co/cyber-security-ethical-hacking?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1804&objPos=10,Computer Science,Includes live courses on Cyber Security and Ethical Hacking,,0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Selenium Certification Training Course,https://www.edureka.co/selenium-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1964&objPos=11,Computer Science,"Learn to use TestNG Framework, Robot Class, Cucumber, Gherkin + 6 more",,0,1,1,46819.0,5.0,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Full Stack Web Developer Masters Program Course,https://www.edureka.co/full-stack-developer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=468&objPos=12,Computer Science,"Includes 4 Live courses: Angular, React, Node.js, MongoDB and more.","Full Stack Web Developer course online will enable you to build interactive and responsive web applications using both front-end and back-end technologies. Full Stack Developer course syllabus starts with basics of Web Development, covers JavaScript and jQuery essentials, guides you to build remarkable user interface via Angular or React, helps you to build scalable backend applications using Express &amp; Node.js plus manage data using MongoDB.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
Automation Testing Engineer Masters Program,https://www.edureka.co/automation-testing-engineer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=814&objPos=13,Computer Science,"Includes 5 Live courses: Selenium, Appium, JMeter and more.","The Automation Testing course helps you optimize your test automation strategies and methodology. You will learn how to perform software testing in all phases of the software life cycle and automation of any web-based application using Selenium. This Automation Testing online course includes training on Continuous Testing in DevOps, Performance Testing using JMeter, and Mobile App Testing using Appium. This program also offers programming courses such as Python Scripting, Ruby on Rails, Ruby with Cucumber, SQL essentials, and Java essentials. Avg. salary earned by Automation Testing course is around $91,178 per annum.",0,2,0,0,4.934782608695652,0,English,English,Edureka,Edureka,https://d1jnx9ba8s6j9r.cloudfront.net/imgver.1679557636/img/Edureka_V_W_logo.webp
