Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Introduction to Cyber Security,https://www.futurelearn.com/courses/introduction-to-cyber-security,Computer Science,"This course will guide you through this technique for protecting information, from explaining encryption keys to exploring real-world uses of cryptography.","This course will guide you through this technique for protecting information, from explaining encryption keys to exploring real-world uses of cryptography.",0,1,1,336324.0,4.7,Rs.550,English,English,FutureLearn,The Open University,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Programming 101: An Introduction to Python for Educators,https://www.futurelearn.com/courses/programming-101,Computer Science,"Ultimately, you’ll use your new coding skills to create your first program – which will be able to solve a simple problem.","Ultimately, you’ll use your new coding skills to create your first program – which will be able to solve a simple problem.",0,0,1,59134.0,4.8,Rs.550,English,English,FutureLearn,Raspberry Pi Foundation & National Centre for Computing Education,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Applications of AI Technology,https://www.futurelearn.com/courses/artificial-intelligence-technology-application,Computer Science,"You’ll discover deep learning in week three, as you learn how self-flying drones are trained using VR. On the final week of the course, you’ll explore fisheries management, and learn how AI can keep ocean fisheries sustainable.","You’ll discover deep learning in week three, as you learn how self-flying drones are trained using VR. On the final week of the course, you’ll explore fisheries management, and learn how AI can keep ocean fisheries sustainable.",1,0,1,4427.0,4.5,Rs.550,English,English,FutureLearn,Taipei Medical University,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Artificial Intelligence in Bioinformatics,https://www.futurelearn.com/courses/artificial-intelligence-in-bioinformatics,Computer Science,You’ll put your learning into practice at the end of the course when you’ll be asked to organise and summarise data results for an academic paper in bioinformatics that’s fit for publication.,You’ll put your learning into practice at the end of the course when you’ll be asked to organise and summarise data results for an academic paper in bioinformatics that’s fit for publication.,0,0,1,2609.0,4.4,Rs.550,English,English,FutureLearn,Taipei Medical University,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Precision Medicine and Smart Healthcare: The Industrial Applications,https://www.futurelearn.com/courses/industrial-application-in-precision-medicine-and-smart-healthcare,Computer Science,"Guided by the experts at Taipei Medical University, you’ll finish the course with a strong foundation of knowledge of precision medicine and smart healthcare.","Guided by the experts at Taipei Medical University, you’ll finish the course with a strong foundation of knowledge of precision medicine and smart healthcare.",0,0,1,5.0,4.6000000000000005,Rs.550,English,English,FutureLearn,Taipei Medical University,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Get Started Teaching Computing in Primary Schools: Preparing to teach 5 - 11 year olds,https://www.futurelearn.com/courses/start-teaching-computing-in-primary-schools,Computer Science,"The course, designed by the Raspberry Pi Foundation, is part of the National Centre for Computing Education, funded by the Department for Education.","The course, designed by the Raspberry Pi Foundation, is part of the National Centre for Computing Education, funded by the Department for Education.",0,0,1,4563.0,4.6,Rs.550,English,English,FutureLearn,Raspberry Pi Foundation & National Centre for Computing Education,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Introduction to Encryption and Cryptography,https://www.futurelearn.com/courses/encryption-and-cryptography,Computer Science,The course includes several practical encryption activities which you can complete and use in your own classroom.,The course includes several practical encryption activities which you can complete and use in your own classroom.,0,0,1,12771.0,4.7,Rs.550,English,English,FutureLearn,Raspberry Pi Foundation & National Centre for Computing Education,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Networking with Python: Socket Programming for Communication,https://www.futurelearn.com/courses/networking-with-python-socket-programming-for-communication,Computer Science,"In the final week, you’ll design and create your own protocol for a networked quiz that you’ll program using Python. This final challenge will help you to consolidate and apply your learning from the course.","In the final week, you’ll design and create your own protocol for a networked quiz that you’ll program using Python. This final challenge will help you to consolidate and apply your learning from the course.",1,0,1,6766.0,4.7,Rs.550,English,English,FutureLearn,Raspberry Pi Foundation & National Centre for Computing Education,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Programming 102: Think Like a Computer Scientist,https://www.futurelearn.com/courses/programming-102-think-like-a-computer-scientist,Computer Science,"Ultimately, what you learn will build upon your foundational Python skills - preparing you to progress onto more advanced programming.","Ultimately, what you learn will build upon your foundational Python skills - preparing you to progress onto more advanced programming.",1,0,1,25601.0,4.7,Rs.550,English,English,FutureLearn,Raspberry Pi Foundation & National Centre for Computing Education,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
Programming Pedagogy in Secondary Schools: Inspiring Computing Teaching,https://www.futurelearn.com/courses/secondary-programming-pedagogy,Computer Science,"In the final week of this course, you’ll see several of these pedagogies in action as you work on a rock-paper-scissors game, and think about how the teaching could be adapted for use with your students.","In the final week of this course, you’ll see several of these pedagogies in action as you work on a rock-paper-scissors game, and think about how the teaching could be adapted for use with your students.",1,0,1,3015.0,4.8,Rs.550,English,English,FutureLearn,Raspberry Pi Foundation & National Centre for Computing Education,https://assets.futurelearn.com/packs/app/assets/images/fl_logo-f9d7f37a61915a2fbf8a26cbb285fed0.svg
