Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Elements of AI,https://course.elementsofai.com/,Computer Science,"The elements of AI is a free online course for everyone interested in learning what AI is, what is possible (and not possible) with AI, and how it affects our lives – with no complicated math or programming required.","The elements of AI is a free online course for everyone interested in learning what AI is, what is possible (and not possible) with AI, and how it affects our lives – with no complicated math or programming required.",Introductory,0,1,0,4.8,0,English,English,Independent Courses,University of Helsinki,
Going Places with Spatial Analysis,https://www.esri.com/training/catalog/57660f19bb54adb30c9454b0/going-places-with-spatial-analysis/,Computer Science,This Massive Open Online Course (MOOC) is for people who know something about data analysis and want to learn about the special capabilities of spatial data analysis. Spatial analysis focuses on location to gain a deeper understanding of data. Spatial an…,This Massive Open Online Course (MOOC) is for people who know something about data analysis and want to learn about the special capabilities of spatial data analysis. Spatial analysis focuses on location to gain a deeper understanding of data. Spatial an…,Introductory,0,1,0,4.8,0,English,English,Independent Courses,Esri,
Do-It-Yourself  Geo Apps,https://www.esri.com/training/catalog/57660ed7bb54adb30c9454a3/do-it-yourself-geo-apps/,Computer Science,"This course will show you how to combine location and narrative in one application to better communicate and broadcast your story, create custom web applications that solve problems in your community, and build powerful native applications for iOS and An…","This course will show you how to combine location and narrative in one application to better communicate and broadcast your story, create custom web applications that solve problems in your community, and build powerful native applications for iOS and An…",Introductory,0,1,0,4.9,0,English,English,Independent Courses,Esri,
Computer Science by CrashCourse,,Computer Science,"In 40 episodes, Carrie Anne Philbin teaches you computer science! This course is based on introductory college-level material as well as the AP Computer Science Principles guidelines.","In 40 episodes, Carrie Anne Philbin teaches you computer science! This course is based on introductory college-level material as well as the AP Computer Science Principles guidelines.",Introductory,0,1,0,4.39,0,English,English,Independent Courses,CrashCourse,
Spatial Data Science: The New Frontier in Analytics,https://www.esri.com/training/catalog/5d76dcf7e9ccda09bef61294/spatial-data-science%3A-the-new-frontier-in-analytics/,Computer Science,Use location to find patterns and tackle complex problems. This course explores the application of spatial data science to uncover hidden patterns and improve predictive modeling. You'll work with powerful analytical tools in Esri's ArcGIS software and l…,Use location to find patterns and tackle complex problems. This course explores the application of spatial data science to uncover hidden patterns and improve predictive modeling. You'll work with powerful analytical tools in Esri's ArcGIS software and l…,Introductory,0,1,0,5.0,0,English,English,Independent Courses,Esri,
6.S191: Introduction to Deep Learning,http://introtodeeplearning.com/index.html,Computer Science,A 1-week extensive survey of deep learning methods and applications.,A 1-week extensive survey of deep learning methods and applications.,Introductory,0,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Imagery in Action,https://www.esri.com/training/catalog/6074ab588e68a831e4d8974b/imagery-in-action/,Computer Science,"This course is for anyone who wants to learn—or learn more—about the many uses of imagery, the many types of imagery, and the rapidly growing integration of imagery with GIS.","This course is for anyone who wants to learn—or learn more—about the many uses of imagery, the many types of imagery, and the rapidly growing integration of imagery with GIS.",Introductory,0,1,0,5.0,0,English,English,Independent Courses,Esri,
Building AI,https://buildingai.elementsofai.com/,Computer Science,"Building AI is for anyone who wants to improve their AI-related vocabulary and skills. By taking the course, you'll learn more about what makes different AI methods possible. As a result, you will be able to craft your own AI idea and present it in an un…","Building AI is for anyone who wants to improve their AI-related vocabulary and skills. By taking the course, you'll learn more about what makes different AI methods possible. As a result, you will be able to craft your own AI idea and present it in an un…",Introductory,1,1,0,4.3,0,English,English,Independent Courses,University of Helsinki,
Hacker Tools,https://hacker-tools.github.io/,Computer Science,Learn to make the most of the tools that hackers have been using for decades.,Learn to make the most of the tools that hackers have been using for decades.,Introductory,1,1,0,4.39,0,English,English,Independent Courses,Independent Courses,
Learning from Data (Introductory Machine Learning course),https://home.work.caltech.edu/telecourse.html,Computer Science,"This is an introductory course in machine learning (ML) that covers the basic theory, algorithms, and applications. ML is a key technology in Big Data, and in many financial, medical, commercial, and scientific applications. It enables computational syst…","This is an introductory course in machine learning (ML) that covers the basic theory, algorithms, and applications. ML is a key technology in Big Data, and in many financial, medical, commercial, and scientific applications. It enables computational syst…",Introductory,0,1,0,4.6,0,English,English,Independent Courses,Caltech,
Practical Deep Learning For Coders,https://course.fast.ai/,Computer Science,"Learn how to get a GPU server online suitable for deep learning— to creating state of the art, highly practical, models for computer vision, natural language processing, and recommendation systems.","Learn how to get a GPU server online suitable for deep learning— to creating state of the art, highly practical, models for computer vision, natural language processing, and recommendation systems.",Introductory,2,1,0,3.8,0,English,English,Independent Courses,fast.ai,
