Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
CompTIA Network+ (N10-007) Cert Prep: 1 Understanding Networks,https://www.linkedin.com/learning/comptia-network-plus-n10-007-cert-prep-1-understanding-networks?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-oTkxxCz2Y0&mcid=6851962469594763264&irgwc=1,Network Administration,"Earn your CompTIA Network+ certification. Part 1 of our 9-part training series covers networking basics: OSI versus TCP/IP models, MAC and IP addressing, and packets and ports.","Earn your CompTIA Network+ certification. Part 1 of our 9-part training series covers networking basics: OSI versus TCP/IP models, MAC and IP addressing, and packets and ports.",1,0,0,1344,4.8,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/9e93cd03a6c1.jpeg
CSS Essential Training,https://www.linkedin.com/learning/css-essential-training-3?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-oQwxxCz2Y0&mcid=6851962469594763264&irgwc=1,Cascading Style Sheets (CSS),"Explore the concepts that form the foundation of CSS. Learn how to select content, style text, manage layouts, and more as you work on a real-world project.","Explore the concepts that form the foundation of CSS. Learn how to select content, style text, manage layouts, and more as you work on a real-world project.",0,0,0,12190,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/83df6f80afd7.jpeg
Succeeding in Web Development: Full Stack and Front End,https://www.linkedin.com/learning/succeeding-in-web-development-full-stack-and-front-end?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-oQ8xxCz2Y0&mcid=6851962469594763264&irgwc=1,"Front-End Development,Full-Stack Development","Do you want to become a web developer? Learn about the skills and tools you need to get a job as a front-end, back-end, or full-stack web developer.","Do you want to become a web developer? Learn about the skills and tools you need to get a job as a front-end, back-end, or full-stack web developer.",0,0,0,11456,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/4ff02a0fe87a.jpeg
JavaScript Essential Training,https://www.linkedin.com/learning/javascript-essential-training?clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-oVcxxCz2Y0&mcid=6851962469594763264&src=aff-ref&irgwc=1&trk=aff-ir_progid%2E8005_partid%2E259799_sid%2E_adid%2E647232,JavaScript,"Get hands-on experience scripting in JavaScript. Learn how to work with objects, variables, data types, conditionals, functions, loops, the DOM, and more.","Get hands-on experience scripting in JavaScript. Learn how to work with objects, variables, data types, conditionals, functions, loops, the DOM, and more.",0,0,0,14737,4.8,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/b3610a175ab7.jpeg
WordPress: Workflows,https://www.linkedin.com/learning/wordpress-workflows-2?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-oXMxxCz2Y0&mcid=6851962469594763264&irgwc=1,WordPress,Be a more efficient WordPress developer. Discover time-tested workflows for building WordPress sites and themes.,Be a more efficient WordPress developer. Discover time-tested workflows for building WordPress sites and themes.,2,0,0,477,4.5,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/da64b38d5c6e.jpeg
Learning AWS Single Sign On,https://www.linkedin.com/learning/learning-aws-single-sign-on?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-oSAxxCz2Y0&mcid=6851962469594763264&irgwc=1,Amazon Web Services (AWS),Discover the power of implementing AWS Single Sign-On to integrate a centralized Active Directory with a secure network identity management service.,Discover the power of implementing AWS Single Sign-On to integrate a centralized Active Directory with a secure network identity management service.,1,0,0,68,4.5,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/0cbd9a8a6c29.jpeg
Programming Foundations: Fundamentals,https://www.linkedin.com/learning/programming-foundations-fundamentals-3?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-txwxxCz2Y0&mcid=6851962469594763264&irgwc=1,Programming,"Prepare to learn the fundamental concepts, practices, and terminology of programming in this introductory course.","Prepare to learn the fundamental concepts, practices, and terminology of programming in this introductory course.",0,0,0,35210,4.8,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/23e45a882cf8.jpeg
Cert Prep: Cisco CCNP Enterprise ENSLD (300-420),https://www.linkedin.com/learning/cert-prep-cisco-ccnp-enterprise-ensld-300-420?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tx4xxCz2Y0&mcid=6851962469594763264&irgwc=1,"Enterprise Network Design,Cisco Networking",Learn the skills you need to know to prepare for and tackle the Cisco CCNP Enterprise 300-420 Designing Cisco Enterprise Networks (ENSLD) certification exam.,Learn the skills you need to know to prepare for and tackle the Cisco CCNP Enterprise 300-420 Designing Cisco Enterprise Networks (ENSLD) certification exam.,2,0,0,110,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/f9a9a6796e99.jpeg
Introduction to RedisGraph,https://www.linkedin.com/learning/introduction-to-redisgraph?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-t2cxxCz2Y0&mcid=6851962469594763264&irgwc=1,Redis,"Learn how to model, populate, and query large amounts of complex relational data, using RedisGraph, the knowledge graph database built on Redis.","Learn how to model, populate, and query large amounts of complex relational data, using RedisGraph, the knowledge graph database built on Redis.",0,0,0,26,4.7,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/8e88d90375f8.jpeg
ASP.NET MVC 5 Essential Training,https://www.linkedin.com/learning/asp-dot-net-mvc-5-essential-training-4?src=aff-ref&trk=aff-ir_progid.8005_partid.259799_sid._adid.647232&clickid=z0z1d5QCFxyNRVVTAwVTuXn7UkAR-tzsxxCz2Y0&mcid=6851962469594763264&irgwc=1,Web Application Development,"Learn how to develop modern, dynamic web applications with the ASP.NET MVC 5 framework.","Learn how to develop modern, dynamic web applications with the ASP.NET MVC 5 framework.",0,0,0,774,4.6,Subscription Required,English,English,LinkedIn Learning,LinkedIn Learning,https://d3f1iyfxxz8i1e.cloudfront.net/courses/course_image/f08f19ebdb1d.jpeg
