Course Name,URL,Categories,Short Description,Long Description,Difficulty,Duration,Free Option,Number of Enrolled,Rating,Paid Option,Language,Subtitle Language,Platform,Provider,Image URL
Data Engineering with AWS,https://www.udacity.com/course/data-engineer-nanodegree--nd027,"AWS Glue,  Amazon S3,  AWS Data Warehouse,  Redshift,  Apache Airflow,  Data Pipeline DAGs,  Data Extraction,  Data Pipeline Creation,  ETL,  OLAP Cubes,  Data Warehouse Architecture,  Cloud Computing Fluency,  Data Pipeline Maintenance","Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.","Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.",1,2,0,1808.0,4.6, Subscription ₹22849 per month,English,English,Udacity,Udacity,https://www.udacity.com/www-proxy/contentful/assets/2y9b3o528xhq/SzLy0ZloqObm1D7fuJEPf/bead7f6394816605e6e5f59acd47b4c1/catalog-card_2x__1_.jpg
Introduction to Programming,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000,"Front-End Development Basics,  HTML,  CSS,  Python Syntax,  Text Processing in Python,  DevTools,  Command Line Interface Basics,  Code Debugging,  Basic JavaScript Scripts,  JavaScript Functions,  JavaScript Arrays,  JavaScript Objects","A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.","A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.",0,2,0,3865.0,4.7, Subscription ₹22849 per month,English,English,Udacity,Udacity,https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd000/nd-card.jpg
C++,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213,"Data Structures,  Algorithms,  Memory Management,  Concurrency,  Object-Oriented Programming,  C++",Get hands-on experience building five real-world projects in this popular general-purpose programming language.,Get hands-on experience building five real-world projects in this popular general-purpose programming language.,1,2,0,1128.0,4.5, Subscription ₹22849 per month,English,English,Udacity,Udacity,https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd213/nd-card.jpg
Business Analytics,https://www.udacity.com/course/business-analytics-nanodegree--nd098,"Excel/Spreadsheets,  SQL,  Data Visualization,  Data Dashboards","Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.","Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.",0,2,0,2660.0,4.8, Subscription ₹22849 per month,English,English,Udacity,Mode,https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd100/nd-card.jpg
Data Analyst,https://www.udacity.com/course/data-analyst-nanodegree--nd002,"Data Wrangling,  Matplotlib,  Bootstrapping,  Pandas,  NumPy,  Statistics","Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.","Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",1,2,0,3498.0,4.6, Subscription ₹22849 per month,English,English,Udacity,Kaggle,https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd002/nd-card.jpg
Programming for Data Science with Python,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104,"Python,  Numpy,  Pandas,  SQL,  Git,  GitHub","Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.","Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.",0,2,0,1558.0,4.7, Subscription ₹22849 per month,English,English,Udacity,Mode,https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd104/nd-card.jpg
AI Programming with Python,https://www.udacity.com/course/ai-programming-python-nanodegree--nd089,"Python, NumPy, Pandas, Matplotlib, PyTorch","Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebra—the foundations for building your own neural network.","Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebra—the foundations for building your own neural network.",0,2,0,1629.0,4.7, Subscription ₹22849 per month,English,English,Udacity,Udacity,https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd089/nd-card.jpg
Product Manager,https://www.udacity.com/course/product-manager-nanodegree--nd036,"Product Strategy,  Product Design,  Product Development,  Design Sprint,  Product Launch,  Project Management Frameworks,  Negotiation,  Prioritization,  Cross-Functional Collaboration",Learn to lead the product strategy of industry-defining products and successfully bring them to market.,Learn to lead the product strategy of industry-defining products and successfully bring them to market.,0,2,0,868.0,4.7, Subscription ₹22849 per month,English,English,Udacity,Udacity,https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd036/catalog+image+nd036.jpg
Digital Marketing,https://www.udacity.com/course/digital-marketing-nanodegree--nd018,"Digital Marketing,  Marketing Fundamentals,  Google Analytics,  Social Media Marketing,  Facebook Marketing,  Search Engine Optimization,  Search Engine Marketing,  Digital Marketing Metrics,  Display Ads,  Video Advertising,  Email Marketing,  Branding Strategy",Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.,Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.,0,2,0,2422.0,4.7, Subscription ₹22849 per month,English,English,Udacity,Udacity,https://www.udacity.com/www-proxy/contentful/assets/2y9b3o528xhq/75TcxxiEyKbi5v04JY6PTX/4148b4a12c42098f130c523ce37264fc/catalog-card.jpg
Artificial Intelligence for Trading,https://www.udacity.com/course/ai-for-trading--nd880,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks","Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.","Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",1,2,0,789.0,4.6, Subscription ₹22849 per month,English,English,Udacity,WorldQuant,https://d20vrrgs8k4bvw.cloudfront.net/images/open-graph/en-US/AI_for_trading_Background.png
