Course Name,Course URL,Course short desc,Course long desc,Duration,Number of Enrolled,Cost,rating
DevOps Engineer Masters Program,https://www.edureka.co/devops-engineer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=2154&objPos=1,"Includes 4 Live courses: DevOps, Docker, AWS DevOps and more.","DevOps Engineer Masters Program will make you proficient in DevOps principles like CI/CD, Continuous Monitoring, and Continuous Delivery, using tools like Puppet, Nagios, Chef, Docker, Git & Jenkins. It includes training on Linux, Python, Docker, AWS DevOps, and Splunk. DevOps Engineer certification training course curriculum created by extensive research on 5000+ job descriptions across the globe to make you a certified DevOps expert.", 132 Hrs ,,,
Microsoft Power BI Certification Training Course,https://www.edureka.co/power-bi-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1910&objPos=2,"Includes: DAX, Data insights, Power BI Service, Report Servers & more",, 30 Hrs ,50035 Learners,Free,5
DevOps Certification Training Course,https://www.edureka.co/devops-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1414&objPos=3,"Includes Git, Jenkins, Ansible, Docker, Kubernetes, Terraform and more.",, 36 Hrs ,142132 Learners,Free,5
Full Stack Web Development Internship Program,https://www.edureka.co/full-stack-web-development?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1113&objPos=4,"Learn Node.JS, React, Express, HTML,CSS etc & build your own product",, 104 Hrs ,,,
Professional Certificate Program in DevOps,https://www.edureka.co/purdue-devops?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=2007&objPos=5,"Includes Source Code Management, Continuous Integration, and more",, 150 Hrs ,,,
Cloud Architect Masters Program,https://www.edureka.co/cloud-architect-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=457&objPos=6,"Includes 4 Live courses: AWS, AWS DevOps, DevOps and more."," Cloud Architect Masters Program makes you proficient in designing, planning, and scaling cloud implementation. It includes training in Python, Cloud Computing, AWS Architectural Principles, Migrating Applications on Cloud and DevOps. The curriculum has been determined by extensive research on 5000+ job descriptions across the globe.                </div>", 153 Hrs ,,,
AWS Solutions Architect Certification Training Course,https://www.edureka.co/aws-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1981&objPos=7,"Learn AWS EC2, Route 53, Lambda, & many more",, 36 Hrs ,143116 Learners,Free,5
Data Science and Machine Learning Internship Program,https://www.edureka.co/data-science-and-machine-learning-program?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1752&objPos=8,"Live Courses: Data Science, Python, Machine Learning, Tableau & more",, 3 Hrs ,,,
PMP® Certification Training Course,https://www.edureka.co/pmp-certification-exam-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1321&objPos=9,"Includes: Project Planning, Governance, Stakeholder Engagement & more",, 36 Hrs ,55910 Learners,,5
Cyber Security and Ethical Hacking Internship Program,https://www.edureka.co/cyber-security-ethical-hacking?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1804&objPos=10,Includes live courses on Cyber Security and Ethical Hacking,, 104 Hrs ,,,
Selenium Certification Training Course,https://www.edureka.co/selenium-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1964&objPos=11,"Learn to use TestNG Framework, Robot Class, Cucumber, Gherkin + 6 more",, 36 Hrs ,46819 Learners,Free,5
Full Stack Web Developer Masters Program Course,https://www.edureka.co/full-stack-developer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=468&objPos=12,"Includes 4 Live courses: Angular, React, Node.js, MongoDB and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
                    Full Stack Web Developer course online will enable you to build interactive and responsive web applications using both front-end and back-end technologies. Full Stack Developer course syllabus starts with basics of Web Development, covers JavaScript and jQuery essentials, guides you to build remarkable user interface via Angular or React, helps you to build scalable backend applications using Express &amp; Node.js plus manage data using MongoDB.                </div>", 168 Hrs ,,,
Automation Testing Engineer Masters Program,https://www.edureka.co/automation-testing-engineer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=814&objPos=13,"Includes 5 Live courses: Selenium, Appium, JMeter and more.","The Automation Testing course helps you optimize your test automation strategies and methodology. You will learn how to perform software testing in all phases of the software life cycle and automation of any web-based application using Selenium. This Automation Testing online course includes training on Continuous Testing in DevOps, Performance Testing using JMeter, and Mobile App Testing using Appium. This program also offers programming courses such as Python Scripting, Ruby on Rails, Ruby with Cucumber, SQL essentials, and Java essentials. Avg. salary earned by Automation Testing course is around $91,178 per annum.", 85 Hrs ,,,
Microsoft Azure Cloud Engineer Masters Program,https://www.edureka.co/azure-cloud-engineer-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1073&objPos=14,"Includes 4 Live courses: AZ-104, AZ-204, AZ-303 & AZ-304, AZ-400 and more.","Edureka's Microsoft Azure Master Program for Azure cloud engineer certification will prepare you for three certification exams: AZ-104, which is required to attain Azure Administrator Badge (Associate-level), AZ-204, which is required to attain Azure Developer Badge (Associate-level), AZ-305, which is required to attain Azure Solutions Architect Badge (Expert-level), and AZ-400, which is required to attain Azure DevOps Engineer Badge (Expert-level). You will be able to implement advanced networking configurations, plan authentication and security of the infrastructure, use PaaS solutions and Storage Services to deploy end-to-end cloud solutions.", 138 Hrs ,,,
AWS Masters Program,https://www.edureka.co/aws-cloud-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1683&objPos=15,"Includes 8 courses: AWS Architect, AWS Developer, AWS DevOps and more","Edureka’s AWS Masters Certification Program is designed to meet the industry benchmarks and makes you proficient in architecting and managing cloud solutions, migrating on-premise infrastructure to AWS, developing and maintaining AWS-based applications, and building CI-CD pipelines using AWS. This program focuses on core AWS skills which are indispensable for AWS professionals. AWS Masters program course curriculum has been determined by extensive research on 5000+ job descriptions across the globe to make you a certified AWS professional.", 132 Hrs ,,,
Salesforce Training Course: Administrator and App Builder Certification,https://www.edureka.co/salesforce-administrator-and-developer-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1373&objPos=16,"Includes SDFC Data and Security Model, Business Logic/Automation and more.",, 42 Hrs ,33725 Learners,,5
Tableau Certification Training Course,https://www.edureka.co/tableau-certification-training?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=2079&objPos=17,"Includes: Visualization, Calculations, LOD, Dashboards, Stories and More",, 36 Hrs ,47977 Learners,,5
Salesforce CRM Masters Certification Program,https://www.edureka.co/salesforce-architect-certification-course?qId=df4483d14d6e45c7aa609c7416b48940&index_name=prod_search_results_courses&objId=1696&objPos=18,"Includes 3 courses: Salesforce Admin and App Builder, and more","Edureka’s Salesforce CRM Certification Masters Program is designed to meet the industry benchmarks and will help you prepare for the Salesforce Administrator Exam (ADM 201), Platform App Builder (CRT 403), Salesforce Architect Certification, and Salesforce Dev 450 Certification exams. This Salesforce CRM Training Program focuses on core Salesforce CRM skills which are indispensable for Salesforce professionals. Throughout the Masters in Salesforce program, you will learn important concepts such as how to customize your application including page layouts, fields, tabs, create reports, customize applications programmatically using Apex code and Visualforce UI framework along with hands-on demonstrations.", 78 Hrs ,,,
DP 203: Data Engineering on Microsoft Azure,https://www.edureka.co/microsoft-azure-data-engineering-certification-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1988&objPos=1,"Includes Azure Storage, Data Factory, Synapse Analytics and many more",, 11 Hrs ,2059 Learners,Free,5
Cyber Security Course,https://www.edureka.co/cybersecurity-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1269&objPos=2,"Includes Cryptography, Computer Security, IdAM, Ethical Hacking and more",, 24 Hrs ,50508 Learners,,5
Business Intelligence Masters Program,https://www.edureka.co/business-intelligence-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=482&objPos=3,"Includes 4 live courses: Power BI, Informatica, Tableau and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
                    Edureka's Business Intelligence Masters Program makes you proficient in tools and systems used by Business Intelligence Professionals. This Business Intelligence certification course includes in-depth training on Data Warehousing and BI, Power BI, Informatica, and Tableau. The Business Intelligence Course curriculum has been determined by extensive research on 5000+ job descriptions across the globe. If you are willing to start a career in business intelligence. In that case, our Business Intelligence Masters Program will help you mine that data and enhance the decision-making processes throughout your organization.                </div>", 117 Hrs ,,,
Data Science Training Masters Program,https://www.edureka.co/data-scientist-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=584&objPos=4,"Includes 5 Live courses: R/Python, Machine Learning, Spark and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
                    Data Science Masters Program makes you proficient in tools and systems used by Data Science Professionals. It includes training in Statistics, Data Science, Python, Apache Spark &amp; Scala, Tensorflow, and Tableau. The Data Science Training curriculum has been determined by extensive research on 5000+ job descriptions across the globe.                </div>", 210 Hrs ,,,
Python Certification Training Course,https://www.edureka.co/python-programming-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1906&objPos=5,"Includes Python Libraries, OOPS, GUI Programming, + 6 more",, 24 Hrs ,42052 Learners,,5
Post Graduate Diploma in Artificial Intelligence Course,https://www.edureka.co/machine-learning-and-ai?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1268&objPos=6,"Includes ML Algorithms, Tensorflow 2.0, NLP, Sequence Learning, and more",, 150 Hrs ,,,
React JS Certification Training Course,https://www.edureka.co/reactjs-redux-certification-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=884&objPos=7,"Build robust applications using React concepts such as JSX, Redux + 6 more",, 30 Hrs ,10764 Learners,Free,5
Java Certification Training Course,https://www.edureka.co/java-j2ee-training-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=44&objPos=8,"Includes Functions, OOP, Servlets, JSP, Hibernate, Spring and many more",, 42 Hrs ,66923 Learners,Free,4
Data Analytics Masters Program,https://www.edureka.co/data-analyst-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=479&objPos=9,"Includes 3 live courses: R, Tableau, Power BI and more.","<div class=""col-lg-12 col-md-12 col-xs-12 col-sm-12 mlp_desc_nw"">
                    Edureka Data Analyst Course makes you proficient in tools and systems used by Data Analytics Professionals. It includes in-depth training on Statistics, Data Analytics with R and Tableau. Edureka Data Analytics Master Program curriculum has been determined by extensive research on 5000+ job descriptions across the globe.                </div>", 120 Hrs ,,,
Certified Ethical Hacking Course - CEH v12,https://www.edureka.co/ceh-ethical-hacking-certification-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1982&objPos=10,"Includes Vulnerability Analysis, System Hacking, Cryptography and more.",, 40 Hrs ,9153 Learners,Free,5
Microservices Certification Training Course,https://www.edureka.co/microservices-architecture-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1872&objPos=11,"Develop Microservices based solution including Design, Security, Testing",, 24 Hrs ,12016 Learners,,5
Angular Certification Training Course,https://www.edureka.co/angular-training?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1559&objPos=12,"Includes Angular concepts such as Directives, Services, Routing + 6 more",, 36 Hrs ,20677 Learners,Free,5
Data Science with Python Certification Course,https://www.edureka.co/data-science-python-certification-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=1937&objPos=13,"Includes Python, ML, Recommender System, Time Series Analysis & More",, 42 Hrs ,112877 Learners,,5
ChatGPT Complete Course: Beginners to Advanced,https://www.edureka.co/openai-chatgpt-training-course?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=2186&objPos=14,"Includes: NLP, OpenAI API, ChatGPT Use Cases, Deploying ChatGPT and more",, 12 Hrs ,1605 Learners,,5
Kubernetes Certification Training Course: Administrator (CKA),https://www.edureka.co/kubernetes-certification?qId=54920b0a1b509b32fb5cb4c8449818ba&index_name=prod_search_results_courses&objId=922&objPos=15,"Learn to set up Kubernetes Cluster, Networking, Cluster Security +5 more",, 24 Hrs ,10617 Learners,Free,5
