title,url,categories,description_short,description_long,difficulty,duration,free_option,number_of_enroll,rating,paid_option,language,subtitle,platform,provider,image_url
3D GIS,https://www.edx.org/course/3d-gis,"Data Analysis & Statistics, Energy & Earth Sciences, Engineering","Take your maps into the third dimension: Learn GIS concepts and tools to visualize, analyze, and interpret spatial data in 3D. Reveal patterns that can lead to better decision making.","Maps are graphic representations of reality and help us understand and navigate the world around us. Maps can incorporate third dimension through contours, hillshading (3D modeling), and profile views.
In this course you will learn fundamentals of third dimension (3D) GIS concepts and tools to visualize, analyze, and interpret geospatial data in 3D, enabling you to reveal patterns and relationships for more effective problem-solving and decision making.
When the data include the third dimension, ArcGIS Scene allows us to navigate through the data in 3D space. This makes the data and the problem more understandable and reveals new visual insights. Visualizing and processing the data in 3D allows us to include real-world elements in the analysis such as undulation of terrain and 3D extent of trees, building, and subsurface geology.
Our world is three dimensional and many GIS applications now require 3D analysis. Esri’s ArcGIS Scene allows us to visualize data on a world sphere. It provides a variety of tools for orientation, navigation, search, data preparation, building workflows and spatial analysis.
3D mapping and visualization is used in a variety of industries and academic disciplines:

Monitoring forest stand height and age
Volumetric analysis of resource extraction from a mine or water level in a reservoir
Watershed delineation to assess inundation risk, land management, environmental monitoring

Verified track learners will receive an ArcGIS Pro license in addition to unlimited course access and a verified certificate.",1,1,1,0,0.0,$149,English,English,Edx,University of Alaska Fairbanks,https://prod-discovery.edx-cdn.org/media/course/image/d4ac1c57-1388-4616-87d7-05956676a806-8111fec5232d.small.jpeg
4G Network Essentials,https://www.edx.org/course/4g-network-essentials,"Computer Science, Engineering","Advance your telecom career by learning how 4G networks enable internet access for smartphone users anytime, anywhere.","4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work?
Ideal for network engineers, sales engineers, application developers, and many other telecoms pros, this course will help you to understand the technology behind the apps and devices we use every day.
You’ll get a solid overview of LTE/EPC (Long Term Evolution / Evolved Packet Core) 4G networks, how they work, how the network architecture is designed, and which protocols are used.
First, you’ll gain exposure to the global architecture of the network, how the radio interface works, and how security is guaranteed.
Then you’ll dive into the operational side. What is a bearer? How is it quickly configured and released? How does 4G handle millions of terminals that are on the move all the time?
Over the next few years, the advent of 5G will see over 20 billion mobile terminals go online.
By mastering the key concepts of 4G, you can be ready for the next chapter in mobile networking—and the jobs of the future.
Whether you’re a graduate student or already in a professional role, targeting a career move or just building your skills, you’ll gain plenty of detailed, practical knowledge that you can put into practice immediately.
This coursehas received financial support from the Patrick & Lina Drahi Foundation.",1,1,1,17317,0.0,$49,English,English,Edx,IMT,https://prod-discovery.edx-cdn.org/media/course/image/7f3e3e83-66c3-4f57-b1e8-46c21cf0833e-cfa554eb1b28.small.png
AI Applications with Watson,https://www.edx.org/course/AI-applications-with-watson,Computer Science,"Turbocharge your chatbot's IQ and AI capabilities with IBM Watson Discovery and powered by Watson Assistant. Learn to use and program tools and assitant services such as Tone Analyzer and Personality Insights to build queries, extract information big data repositories.","Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge!
By enrolling in this course, chances are you've studied artifical intelligence, built chatbots and have perhaps even used Watson Assistant along the way. But did you know that you can turbocharge your chatbot's IQ with IBM Watson Discovery, a service designed to reveal the hidden value in your data? Discovery specializes in taking your data--structured or unstructured--and extracting from it answers and patterns.
For example, if you have a large repository, the contents of which could answer customer questions, you've got the makings of a great FAQ chatbot.
In this course, you'll learn how to build queries in Discovery, which allows you to surface answers and patterns from large repositories of data. You'll next learn to use Discovery to extract insights from a set of hotel reviews. Then, to make that data come to life, you'll integrate Discovery with other Watson services to create a chatbot that can tell you about the best hotels in a certain US city. By using these Watson services, you'll add more layers of analysis to help you find the best hotel.
You'll build your chatbot application with the following Watson services:

Assistant
Discovery
Tone Analyzer
Personality Insights

By the end of this course, you will have built a fully functioning AI-powered chatbot. Moreover, you should be able to apply the services taught here to your own data sets, enabling you to create sophisticated chatbots of your own.",1,0,1,12101,0.0,$99,English,English,Edx,IBM,https://prod-discovery.edx-cdn.org/media/course/image/d790c137-1180-42d9-8f50-9fe88c21da1f-d9fbcce5fce6.small.jpg
AI Chatbots without Programming,https://www.edx.org/course/AI-chatbots-without-programming,"Computer Science, Design","Chatbots are increasingly in demand among global businesses. This course will teach you how to build, analyze, deploy and monetize chatbots - with the help of IBM Watson and the power of AI.","Please Note: Learners who successfully complete this IBM course can earn a skill badge — a detailed, verifiable and digital credential that profiles the knowledge and skills you’ve acquired in this course. Enroll to learn more, complete the course and claim your badge!
Special Offer : This course includes a great offer from IBM: One year of Watson Assistant services to power 10 chatbots at no charge. The perfect way to kickstart your chatbot building business!
Chatbots are one of the most exciting and in-demand topics in tech. Businesses around the world are increasingly showing an interest in their potential for cost-saving and improving customer service availability.
In this course, you'll learn how to build chatbots powered by Watson and how to approach making money by selling chatbots to clients. We'll coverways to sell chatbots to prospective clients online and offline. We'll explore how to plan and build chatbots using a visual tool provided by IBM. We'll offer methods for testing, analyzing, and improving your chatbots. And we'll teach you how to deploy your chatbots to websites via a handy WordPress plugin.
Leveraging the AI power of Watson Assistant, you will be able toaccomplish all this without the need to write any code!",0,0,1,44211,0.0,$99,English,English,Edx,IBM,https://prod-discovery.edx-cdn.org/media/course/image/0cdf5a20-c4f2-4384-90c6-a527ef67dd39-2ebae0116904.small.png
"Data Ethics, AI and Responsible Innovation",https://www.edx.org/course/Data-Ethics-AI-and-Responsible-Innovation,"Computer Science, Ethics","Our future is here and it relies on data. Predictive policing, medical robots, smart homes and cities, artificial intelligences – we can all think about how any of those could go wrong.
Join us on this course as we explore these increasingly important topics further.","How much would you like your smart home to know about you? Has your data been harvested and used for political advertising on social media? Would you be happy to be profiled by a predictive policing AI?
As we create more data-driven technologies, those issues become increasingly urgent. We must begin to ask not only ‘what can we do?’, but also ‘what should we do?’ How should we design new technologies to make sure they are used for good, not bad purposes?
The ‘good’, the ‘bad’, and the ‘should’ are a domain of ethics, and a basis for other important concepts such as justice, fairness, rights, respect. They further inform the law and what is legal. Finally, they are at the roots of an extremely important currency in the modern economy: trust.
This story-driven course is taught by the leading experts in data science, AI, information law, science and technology studies, and responsible research and innovation, and informed by case studies supplied by the digital business frontrunners and tech companies. We will look at real-world controversies and ethical challenges to introduce and critically discuss the social, political, legal and ethical issues surrounding data-driven innovation, including those posed by big data, AI systems, and machine learning systems. We will drill down into case studies, structured around core concerns being raised by society, governments and industry, such as bias, fairness, rights, data re-use, data protection and data privacy, discrimination, transparency and accountability. Throughout the course, we will emphasise the importance of being mindful of the realities and complexities of making ethical decisions in a landscape of competing interests.
We will engage with data-based contexts such as facial recognition, predictive policing, medical screening, smart homes and cities, banking, and AI, to explore their social implications and the tools required to minimise harm, promote fairness, and safeguard and increase human autonomy and well-being. We address cutting edge issues being grappled with by practitioners and new approaches emerging in industry and offer the opportunity for participants to develop and feedback solutions.
Completing this course will help you understand the challenges we are facing, and inspire you to design, criticise, and develop better intelligent systems to shape our future.",1,1,1,7625,0.0,$49,English,English,Edx,The University of Edinburgh,https://prod-discovery.edx-cdn.org/media/course/image/1d64c2f6-8468-45a6-a948-fdbc3581a862-30d05cecb1cd.small.jpeg
A Hands-on Introduction to Engineering Simulations,https://www.edx.org/course/a-hands-on-introduction-to-engineering-simulations,Engineering,Learn how to analyze real-world engineering problems using Ansys simulation software and gain important professional skills sought by employers.,"In this hands-on course, you'll learn how to perform engineering simulations using a powerful tool from Ansys, Inc. This is a problem-based course where you'll learn by doing. The focus will be on understanding what's under the blackbox so as to move beyond garbage-in, garbage-out. You'll practice using a common solution approach to problems involving different physics: structural mechanics, fluid dynamics and heat transfer.
We'll solve textbook examples to understand the fundamental principles of finite-element analysis and computational fluid dynamics. Then we'll apply these principles to simulate real-world examples in the tool including a bolted rocket assembly and a wind turbine rotor.We'll discuss current industry practices with a SpaceX engineer. By working through examples in a leading simulation tool that professionals use, you'll learn to move beyond button pushing and start thinking like an expert.
This course teaches fundamental concepts and tool use in an integrated fashion using the power of online learning. All learners will have access to a free download of Ansys Student.
Join us to discover why simulations have changed how engineering is done and how you can be a part of this revolution.",1,1,1,223958,0.0,$199,English,English,Edx,Cornell University,https://prod-discovery.edx-cdn.org/media/course/image/90a15103-767d-42ca-ba2f-6f4c892d6f4c-2222edeb0de6.small.jpg
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",https://www.edx.org/course/a-level-mathematics-for-year-12-course-1-algebraic,Math,"Develop your thinking skills, fluency and confidence to aim for an A* in A-level maths and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level maths exams.You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include:

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied

Over seven modules, your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A -level course. You’ll also be encouraged to consider how what you know fits into the wider mathematical world.",1,1,1,36245,0.0,$49,English,English,Edx,Imperial College London,https://prod-discovery.edx-cdn.org/media/course/image/37a24f56-f624-41f2-859f-fda43f451e54-c510e1ec2f30.small.jpg
"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing",https://www.edx.org/course/a-level-mathematics-for-year-12-course-2-calculus,Math,"Develop your thinking skills, fluency and confidence to aim for an A* in A-level mathematics and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level mathematics exams. You’ll also be encouraged to consider how what you know fits into the wider mathematical world. Over seven modules, covering an introduction to calculus, Newton’s laws and statistical hypothesis testing your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A -level course. You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include:

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, data handling, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied
",1,1,1,8890,0.0,$49,English,English,Edx,Imperial College London,https://prod-discovery.edx-cdn.org/media/course/image/bbf0ed54-4e19-496a-a2b6-e3c468f15ea4-758838a66a82.small.jpg
"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods",https://www.edx.org/course/a-level-mathematics-for-year-13-course-1-functions,Math,"Develop your thinking skills, fluency and confidence to aim for an A* in A-level maths and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level maths exams.The course is most appropriate to the Edexcel, AQA, OCR and OCR(MEI) papers. You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include:

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied

Over seven modules, covering an introduction to functions and their notation, sequences and series and numerical methods testing your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A-level course. You’ll also be encouraged to consider how what you know fits into the wider mathematical world.",1,1,1,9381,0.0,$49,English,English,Edx,Imperial College London,https://prod-discovery.edx-cdn.org/media/course/image/52c62c54-85ec-48de-bf62-a7ff737ee3d0-68eef180a5f3.small.jpg
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations",https://www.edx.org/course/a-level-mathematics-for-year-13-course-2,Math,"Develop your thinking skills, fluency and confidence to aim for an A* in A-level maths and prepare for undergraduate STEM degrees.","This course by Imperial College London is designed to help you develop the skills you need to succeed in your A-level maths exams.
You will investigate key topic areas to gain a deeper understanding of the skills and techniques that you can apply throughout your A-level study. These skills include:

Fluency – selecting and applying correct methods to answer with speed and efficiency
Confidence – critically assessing mathematical methods and investigating ways to apply them
Problem solving – analysing the ‘unfamiliar’ and identifying which skills and techniques you require to answer questions
Constructing mathematical argument – using mathematical tools such as diagrams, graphs, logical deduction, mathematical symbols, mathematical language, construct mathematical argument and present precisely to others
Deep reasoning – analysing and critiquing mathematical techniques, arguments, formulae and proofs to comprehend how they can be applied

Over seven modules, covering general motion in a straight line and two dimensions, projectile motion, a model for friction, moments, equilibrium of rigid bodies, vectors, differentiation methods, integration methods and differential equations, your initial skillset will be extended to give a clear understanding of how background knowledge underpins the A -level course.
You’ll also be encouraged to consider how what you know fits into the wider mathematical world.",1,1,1,5058,0.0,$49,English,English,Edx,Imperial College London,https://prod-discovery.edx-cdn.org/media/course/image/6c9b7d4f-592b-4e65-9419-d421a7c75df6-be20b96e80a3.small.jpeg
