URL,Provider,Title,ReviewStars,Number_of_review,Duration_Week,Duration_per_week,Cost,Description,Course_Level,Enrollment_Number
https://www.futurelearn.com/courses/introduction-to-cyber-security,The Open University,Introduction to Cyber Security,4.7,(473 reviews),8 weeks,3 hrs per week,Included in Unlimited,"This course will guide you through this technique for protecting information, from explaining encryption keys to exploring real-world uses of cryptography.",Introductory level,"336,324 enrolled on this course"
https://www.futurelearn.com/courses/programming-101,Raspberry Pi Foundation & National Centre for Computing Education,Programming 101: An Introduction to Python for Educators,4.8,(341 reviews),4 weeks,2 hrs per week,Included in Unlimited,"Ultimately, you’ll use your new coding skills to create your first program – which will be able to solve a simple problem.",Introductory level,"59,134 enrolled on this course"
https://www.futurelearn.com/courses/artificial-intelligence-technology-application,Taipei Medical University,Applications of AI Technology,4.5,(20 reviews),4 weeks,2 hrs per week,Included in Unlimited,"You’ll discover deep learning in week three, as you learn how self-flying drones are trained using VR. On the final week of the course, you’ll explore fisheries management, and learn how AI can keep ocean fisheries sustainable.",Intermediate level,"4,427 enrolled on this course"
https://www.futurelearn.com/courses/artificial-intelligence-in-bioinformatics,Taipei Medical University,Artificial Intelligence in Bioinformatics,4.4,(13 reviews),3 weeks,2 hrs per week,Included in Unlimited,You’ll put your learning into practice at the end of the course when you’ll be asked to organise and summarise data results for an academic paper in bioinformatics that’s fit for publication.,Introductory level,"2,609 enrolled on this course"
https://www.futurelearn.com/courses/industrial-application-in-precision-medicine-and-smart-healthcare,Taipei Medical University,Precision Medicine and Smart Healthcare: The Industrial Applications,,,5 weeks,2 hrs per week,Included in Unlimited,"Guided by the experts at Taipei Medical University, you’ll finish the course with a strong foundation of knowledge of precision medicine and smart healthcare.",Introductory level,5 weeks
https://www.futurelearn.com/courses/start-teaching-computing-in-primary-schools,Raspberry Pi Foundation & National Centre for Computing Education,Get Started Teaching Computing in Primary Schools: Preparing to teach 5 - 11 year olds,4.6,(31 reviews),4 weeks,2 hrs per week,Included in Unlimited,"The course, designed by the Raspberry Pi Foundation, is part of the National Centre for Computing Education, funded by the Department for Education.",Introductory level,"4,563 enrolled on this course"
https://www.futurelearn.com/courses/encryption-and-cryptography,Raspberry Pi Foundation & National Centre for Computing Education,Introduction to Encryption and Cryptography,4.7,(75 reviews),2 weeks,2 hrs per week,Included in Unlimited,The course includes several practical encryption activities which you can complete and use in your own classroom.,Introductory level,"12,771 enrolled on this course"
https://www.futurelearn.com/courses/networking-with-python-socket-programming-for-communication,Raspberry Pi Foundation & National Centre for Computing Education,Networking with Python: Socket Programming for Communication,4.7,(28 reviews),3 weeks,2 hrs per week,Included in Unlimited,"In the final week, you’ll design and create your own protocol for a networked quiz that you’ll program using Python. This final challenge will help you to consolidate and apply your learning from the course.",Intermediate level,"6,766 enrolled on this course"
https://www.futurelearn.com/courses/programming-102-think-like-a-computer-scientist,Raspberry Pi Foundation & National Centre for Computing Education,Programming 102: Think Like a Computer Scientist,4.7,(95 reviews),4 weeks,2 hrs per week,Included in Unlimited,"Ultimately, what you learn will build upon your foundational Python skills - preparing you to progress onto more advanced programming.",Intermediate level,"25,601 enrolled on this course"
https://www.futurelearn.com/courses/secondary-programming-pedagogy,Raspberry Pi Foundation & National Centre for Computing Education,Programming Pedagogy in Secondary Schools: Inspiring Computing Teaching,4.8,(32 reviews),3 weeks,2 hrs per week,Included in Unlimited,"In the final week of this course, you’ll see several of these pedagogies in action as you work on a rock-paper-scissors game, and think about how the teaching could be adapted for use with your students.",Intermediate level,"3,015 enrolled on this course"
