course_name,course_url,course_provider,course_skill,course_rating,course_enroll,course_difficultty,course_time,course_type,course_frr
,,,,,,,,,
Computer Science: Programming with a Purpose,https://www.coursera.org/learn/cs-programming-java,Princeton University,"Skills you'll gain: Computer Programming, Java Programming, Algorithms, Theoretical Computer Science, C Programming Language Family, Data Visualization, Plot (Graphics), Python Programming, Computational Logic, Computer Science, Data Management, Data Structures, Entrepreneurship, Leadership and Management, Mobile Development, Operations Research, Other Programming Languages, Problem Solving, Programming Principles, Research and Design, Statistical Programming, Strategy and Operations",4.7,"2,53,043",beginner,1-3 months,course,free
Code Yourself! An Introduction to Programming,https://www.coursera.org/learn/intro-programming,The University of Edinburgh,"Skills you'll gain: Computational Thinking, Computer Programming, Algorithms, Design and Product, Human Computer Interaction, Product Design, Theoretical Computer Science, User Experience, Entrepreneurship, Journalism, Leadership and Management, Other Programming Languages, Problem Solving, Programming Principles, Research and Design, Software Engineering",4.7,"3,35,309",beginner,1-3 months,course,free
Mathematics for Computer Science,https://www.coursera.org/learn/mathematics-for-computer-science,University of London,"Skills you'll gain: Mathematics, Computer Architecture, Data Visualization, Microarchitecture, Plot (Graphics), Theoretical Computer Science",4.2,"28,500",beginner,1-3 months,course,free
Data Science Math Skills,https://www.coursera.org/learn/datasciencemathskills,Duke University,"Skills you'll gain: Mathematics, Probability & Statistics, General Statistics, Algebra, Bayesian Statistics, Computational Logic, Data Visualization, Graph Theory, Mathematical Theory & Analysis, Plot (Graphics), Probability Distribution, Theoretical Computer Science",4.5,"3,53,595",beginner,1-3 months,course,free
Learn to Program: The Fundamentals,https://www.coursera.org/learn/learn-to-program,University of Toronto,"Skills you'll gain: Computer Programming, Python Programming, Computational Thinking, Computational Logic, Business Analysis, Critical Thinking, Entrepreneurship, Leadership and Management, Problem Solving, Programming Principles, Research and Design, Statistical Programming, Strategy and Operations, Theoretical Computer Science",4.7,"3,64,546",beginner,1-3 months,course,free
Connected Leadership,https://www.coursera.org/learn/connected-leadership,Yale University,"Skills you'll gain: Entrepreneurship, Strategy and Operations, Leadership and Management, Marketing, Sales, Strategy, Human Resources, Leadership Development, Business Analysis, Change Management, Critical Thinking, Project Management, Research and Design, Accounting, Audit, Business Process Management, Computer Programming, Computer Programming Tools, FinTech, Finance, Operating Systems, Operations Management, People Management, Systems Design, Theoretical Computer Science, Emotional Intelligence",4.6,"15,543",beginner,1-3 months,course,free
Miracles of Human Language: An Introduction to Linguistics,https://www.coursera.org/learn/human-language,Universiteit Leiden,"Skills you'll gain: Business Psychology, Culture, Leadership and Management, Computer Programming, Computer Programming Tools, Other Programming Languages",4.7,"1,82,636",beginner,1-3 months,course,free
Computational Neuroscience,https://www.coursera.org/learn/computational-neuroscience,University of Washington,"Skills you'll gain: Data Science, Machine Learning, Artificial Neural Networks, Python Programming, Statistical Programming, Matlab, Reinforcement Learning, Business Psychology, Communication, Computer Networking, Computer Programming, Data Analysis, Data Analysis Software, Deep Learning, Entrepreneurship, General Statistics, Linear Algebra, Machine Learning Algorithms, Mathematics, Network Model, Probability & Statistics, Probability Distribution",4.6,"1,11,593",beginner,1-3 months,course,free
Mathematical Thinking in Computer Science,https://www.coursera.org/learn/what-is-a-proof,University of California San Diego,"Skills you'll gain: Mathematics, Algebra, Geometry, Algorithms, Applied Mathematics, Computational Thinking, Theoretical Computer Science, Computational Logic, Business Analysis, Computer Programming, Critical Thinking, Leadership and Management, Mathematical Theory & Analysis, Problem Solving, Programming Principles, Python Programming, Research and Design, Statistical Programming, Strategy and Operations",4.4,"1,21,847",beginner,1-3 months,course,free
Foundations of Computer Science,https://www.coursera.org/learn/computer-science-foundations,LearnQuest,"Skills you'll gain: Theoretical Computer Science, Algorithms, Cloud Computing, Cloud Platforms, Computer Architecture, Computer Networking, Computer Programming, Microarchitecture, Network Security, Operating Systems, Security Engineering, Software As A Service, System Security",4.5,"3,307",beginner,1-3 months,course,free
"Problem Solving, Python Programming, and Video Games",https://www.coursera.org/learn/problem-solving-programming-video-games,University of Alberta,"Skills you'll gain: Computer Programming, Python Programming, Statistical Programming, Leadership and Management, Entrepreneurship, Problem Solving, Research and Design, Computer Programming Tools, Software Engineering, Theoretical Computer Science, Application Development, Computational Logic, Computational Thinking, Design and Product, Product Design, Programming Principles, Machine Learning, Mathematical Theory & Analysis, Mathematics, Planning, Software Testing, Supply Chain and Logistics, Algorithms, Natural Language Processing, Computer Science",4.3,"59,233",beginner,1-3 months,course,free
Technical Support Fundamentals,https://www.coursera.org/learn/technical-support-fundamentals,Google,"Skills you'll gain: Operating Systems, Business Communication, Communication, Computer Architecture, Computer Networking, Hardware Design, Mathematics, Network Architecture, Network Model, Networking Hardware, System Software, Writing, Computer Graphics, Emotional Intelligence, Human Computer Interaction, Microarchitecture, Network Security, Problem Solving, Systems Design, Theoretical Computer Science, Virtual Reality",4.8,"14,05,419",beginner,1-3 months,course,free
Prepare Data for Exploration,https://www.coursera.org/learn/data-preparation,Google,"Skills you'll gain: Data Analysis, Exploratory Data Analysis, Spreadsheet Software, Data Structures, SQL, Computer Architecture, Computer Networking, Computer Programming, Cryptography, Data Management, Data Model, Database Administration, Database Design, Databases, Distributed Computing Architecture, Full-Stack Web Development, Network Security, Programming Principles, Security Engineering, Security Strategy, Software Security, Statistical Programming, Theoretical Computer Science, Web Development",4.8,"4,61,938",beginner,1-3 months,course,free
Process Data from Dirty to Clean,https://www.coursera.org/learn/process-data,Google,"Skills you'll gain: Business, Data Analysis, Data Management, SQL, Statistical Programming, Business Analysis, Spreadsheet Software, Data Science, Computational Logic, Computer Programming, Computer Programming Tools, Data Model, Database Design, Databases, Extract, Transform, Load, General Statistics, Mathematical Theory & Analysis, Mathematics, Other Programming Languages, Probability & Statistics, Theoretical Computer Science",4.8,"3,79,870",beginner,1-3 months,course,free
Crash Course on Python,https://www.coursera.org/learn/python-crash-course,Google,"Skills you'll gain: Computer Programming, Python Programming, Data Structures, Programming Principles, Statistical Programming",4.8,"7,92,809",beginner,1-3 months,course,free
Introduction to Data Analytics,https://www.coursera.org/learn/introduction-to-data-analytics,IBM Skills Network,"Skills you'll gain: Data Analysis, Data Management, Data Science, Big Data, Databases, NoSQL, Python Programming, SQL, Statistical Programming, Basic Descriptive Statistics, Cloud Computing, Data Mining, Data Structures, Data Visualization, Data Warehousing, General Statistics, Machine Learning, Mathematics, Probability & Statistics, Apache, Business Analysis, Data Visualization Software, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Professional Development",4.8,"2,87,041",beginner,1-3 months,course,free
"Python for Data Science, AI & Development",https://www.coursera.org/learn/python-for-applied-data-science-ai,IBM Skills Network,"Skills you'll gain: Data Analysis, Python Programming, Data Structures, Programming Principles, Algebra, Basic Descriptive Statistics, Exploratory Data Analysis, Computational Logic, Computer Programming, Mathematical Theory & Analysis, Mathematics, Statistical Programming, Theoretical Computer Science",4.6,"5,30,912",beginner,1-3 months,course,free
Introduction to Cloud Computing,https://www.coursera.org/learn/introduction-to-cloud,IBM Skills Network,"Skills you'll gain: Cloud Computing, Cloud Engineering, Cloud Infrastructure, Cloud Applications, Cloud Management, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud, Network Security, Software As A Service, Software Engineering, BlockChain, Computer Architecture, Computer Graphics, Computer Programming, Finance, Human Computer Interaction, Interactive Design, Operating Systems, Security Engineering, Software Architecture, Software Framework, System Programming, Theoretical Computer Science",4.7,"1,64,790",beginner,1-3 months,course,free
IT Security: Defense against the digital dark arts,https://www.coursera.org/learn/it-security,Google,"Skills you'll gain: Security Engineering, Computer Networking, Cryptography, Cyberattacks, Network Security, Computer Security Incident Management, Security Strategy, Entrepreneurship, Leadership and Management, Marketing, Operating Systems, Sales, Security Software, Software Security, Strategy, Strategy and Operations, System Security, Theoretical Computer Science",4.8,"2,99,605",beginner,1-3 months,course,free
Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science,IBM Skills Network,"Skills you'll gain: SQL, Databases, Database Theory, Data Management, Statistical Programming, Data Science, Data Structures, Database Application, Computer Programming, Database Administration, Python Programming",4.6,"3,16,898",beginner,1-3 months,course,free
"Cybersecurity Roles, Processes & Operating System Security",https://www.coursera.org/learn/cybersecurity-roles-processes-operating-system-security,IBM,"Skills you'll gain: Security Engineering, Operating Systems, Cloud Computing, Cloud Engineering, Computer Security Incident Management, Linux, System Security, System Software, Cloud Infrastructure, Cloud Management, Computer Architecture, Computer Networking, Cryptography, Data Management, Data Warehousing, Distributed Computing Architecture, Leadership and Management, Networking Hardware, Security Strategy, Software Security, Theoretical Computer Science",4.6,"96,762",beginner,1-3 months,course,free
Data Analysis with Python,https://www.coursera.org/learn/data-analysis-with-python,IBM Skills Network,"Skills you'll gain: Basic Descriptive Statistics, Data Analysis, Data Science, Python Programming, Applied Machine Learning, Data Mining, Data Structures, General Statistics, Machine Learning, Regression, Statistical Analysis, Statistical Tests, Exploratory Data Analysis, Algebra, Business Analysis, Computer Programming, Computer Programming Tools, Correlation And Dependence, Econometrics, Mathematical Theory & Analysis, Probability & Statistics, Spreadsheet Software, Statistical Machine Learning, Statistical Programming",4.7,"3,08,690",beginner,1-3 months,course,free
Create High-Fidelity Designs and Prototypes in Figma,https://www.coursera.org/learn/high-fidelity-designs-prototype,Google,"Skills you'll gain: Collaboration, Computer Science, Change Management, Design and Product, Emotional Intelligence, Marketing Design, Problem Solving, Product Design, Research and Design, User Experience Design, Web Design, Communication, Human Computer Interaction, Leadership and Management, Operating Systems, Systems Design, Theoretical Computer Science, User Experience, User Research, Visual Design",4.8,"1,33,209",beginner,1-3 months,course,free
Introduction to DevOps,https://www.coursera.org/learn/intro-to-devops,IBM Skills Network,"Skills you'll gain: DevOps, Continuous Delivery, Continuous Integration, Computer Programming, Programming Principles, Collaboration, Communication, Design and Product, Leadership and Management, Product Design, Product Development, Software Architecture, Software Engineering, Software Testing, Theoretical Computer Science",4.8,"50,173",beginner,1-3 months,course,free
Machine Learning Foundations for Product Managers,https://www.coursera.org/learn/machine-learning-foundations-for-product-managers,Duke University,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Probability & Statistics, Regression, Applied Machine Learning, Data Analysis, Data Mining, Deep Learning, Artificial Neural Networks, Computer Vision, Natural Language Processing, Statistical Machine Learning, Algorithms, Data Management, Data Science, Data Structures, Econometrics, General Statistics, Strategy and Operations, Theoretical Computer Science",4.6,"12,881",beginner,1-3 months,course,free
SAP Professional Fundamentals,https://www.coursera.org/learn/sap-professional-fundamentals,SAP,"Skills you'll gain: Entrepreneurship, Leadership and Management, Business Process Management, Strategy and Operations, Business Analysis, Business Transformation, Cloud Computing, Software As A Service, Software Engineering, Agile Software Development, Planning, Problem Solving, Process Analysis, Project Management, Research and Design, Software Architecture, Supply Chain and Logistics, Theoretical Computer Science, Communication, Operations Management, Sales",4.8,"12,486",beginner,1-3 months,course,free
