"card_container__tm_J1 href","card_image__fZ2qh src","card_flag__PGsM1","card_title__6gX9X","card_summary__uxD6t","skills learn","pre-requisites","Difficulty","duration","rating","reviews","provider"
"https://www.udacity.com/course/data-engineer-nanodegree--nd027","https://www.udacity.com/www-proxy/contentful/assets/2y9b3o528xhq/SzLy0ZloqObm1D7fuJEPf/bead7f6394816605e6e5f59acd47b4c1/catalog-card_2x__1_.jpg","nanodegree","Data Engineering with AWS","Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.","AWS Glue,  Amazon S3,  AWS Data Warehouse,  Redshift,  Apache Airflow,  Data Pipeline DAGs,  Data Extraction,  Data Pipeline Creation,  ETL,  OLAP Cubes,  Data Warehouse Architecture,  Cloud Computing Fluency,  Data Pipeline Maintenance","Intermediate Python, intermediate SQL & command line","intermediate","4 Months","4.6 stars","1808 reviews",""
"https://www.udacity.com/course/intro-to-programming-nanodegree--nd000","https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd000/nd-card.jpg","nanodegree","Introduction to Programming","A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.","Front-End Development Basics,  HTML,  CSS,  Python Syntax,  Text Processing in Python,  DevTools,  Command Line Interface Basics,  Code Debugging,  Basic JavaScript Scripts,  JavaScript Functions,  JavaScript Arrays,  JavaScript Objects","No coding experience needed","beginner","4 Months","4.7 stars","3865 reviews",""
"https://www.udacity.com/course/c-plus-plus-nanodegree--nd213","https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd213/nd-card.jpg","nanodegree","C++","Get hands-on experience building five real-world projects in this popular general-purpose programming language.","Data Structures,  Algorithms,  Memory Management,  Concurrency,  Object-Oriented Programming,  C++","Intermediate Programming","intermediate","4 Months","4.5 stars","1128 reviews",""
"https://www.udacity.com/course/business-analytics-nanodegree--nd098","https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd100/nd-card.jpg","nanodegree","Business Analytics","Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.","Excel/Spreadsheets,  SQL,  Data Visualization,  Data Dashboards","None","beginner","3 Months","4.8 stars","2660 reviews","Mode"
"https://www.udacity.com/course/data-analyst-nanodegree--nd002","https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd002/nd-card.jpg","nanodegree","Data Analyst","Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.","Data Wrangling,  Matplotlib,  Bootstrapping,  Pandas,  NumPy,  Statistics","Python & SQL","intermediate","4 Months","4.6 stars","3498 reviews","Kaggle"
"https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104","https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd104/nd-card.jpg","nanodegree","Programming for Data Science with Python","Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.","Python,  Numpy,  Pandas,  SQL,  Git,  GitHub","None","beginner","3 Months","4.7 stars","1558 reviews","Mode"
"https://www.udacity.com/course/ai-programming-python-nanodegree--nd089","https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd089/nd-card.jpg","nanodegree","AI Programming with Python","Learn Python, NumPy, pandas, Matplotlib, PyTorch, calculus, and linear algebra—the foundations for building your own neural network.","Python, NumPy, Pandas, Matplotlib, PyTorch","Basic Algebra and Programming Knowledge","beginner","3 Months","4.7 stars","1629 reviews",""
"https://www.udacity.com/course/product-manager-nanodegree--nd036","https://d20vrrgs8k4bvw.cloudfront.net/images/degrees/nd036/catalog+image+nd036.jpg","nanodegree","Product Manager","Learn to lead the product strategy of industry-defining products and successfully bring them to market.","Product Strategy,  Product Design,  Product Development,  Design Sprint,  Product Launch,  Project Management Frameworks,  Negotiation,  Prioritization,  Cross-Functional Collaboration","Product management basics","beginner","4 Months","4.7 stars","868 reviews",""
"https://www.udacity.com/course/digital-marketing-nanodegree--nd018","https://www.udacity.com/www-proxy/contentful/assets/2y9b3o528xhq/75TcxxiEyKbi5v04JY6PTX/4148b4a12c42098f130c523ce37264fc/catalog-card.jpg","nanodegree","Digital Marketing","Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.","Digital Marketing,  Marketing Fundamentals,  Google Analytics,  Social Media Marketing,  Facebook Marketing,  Search Engine Optimization,  Search Engine Marketing,  Digital Marketing Metrics,  Display Ads,  Video Advertising,  Email Marketing,  Branding Strategy","No Experience Required.","beginner","3 Months","4.7 stars","2422 reviews",""
"https://www.udacity.com/course/ai-for-trading--nd880","https://d20vrrgs8k4bvw.cloudfront.net/images/open-graph/en-US/AI_for_trading_Background.png","nanodegree","Artificial Intelligence for Trading","Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.","Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks","Python & Mathematics","intermediate","6 Months","4.6 stars","789 reviews","WorldQuant"
