Course_Link,Image-wrapper_hti-1,image-module_image__1vzg2 src,Provider,Title,ReviewStars,Number_of_review,Duration_Week,Duration_per_week,Cost,Ribbon-module_wrapper__312EV
https://www.futurelearn.com/courses/introduction-to-cyber-security,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/36/d6/thumbnail_36d68953-a00a-4f96-8016-7dc8607c7771.jpg"" alt=""A cyber security threat – a man looks at his laptop, while people snoop over his shoulder.""/>",https://ugc.futurelearn.com/uploads/images/36/d6/thumbnail_36d68953-a00a-4f96-8016-7dc8607c7771.jpg,The Open University,Introduction to Cyber Security,4.7,(473 reviews),8 weeks,3 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/programming-101,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/8d/13/thumbnail_8d1353eb-10b3-4e9b-b0a3-1ef9e1045572.jpg"" alt=""""/>",https://ugc.futurelearn.com/uploads/images/8d/13/thumbnail_8d1353eb-10b3-4e9b-b0a3-1ef9e1045572.jpg,Raspberry Pi Foundation & National Centre for Computing Education,Programming 101: An Introduction to Python for Educators,4.8,(341 reviews),4 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/artificial-intelligence-technology-application,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/22/a7/thumbnail_22a71e09-ae34-4926-a743-9436fa58cefb.jpg"" alt=""Manager industrial Engineer using tablet check and control automation robot arms machine in intelligent factory industrial over system on virtual interface screen, Industry 4.0 concept""/>",https://ugc.futurelearn.com/uploads/images/22/a7/thumbnail_22a71e09-ae34-4926-a743-9436fa58cefb.jpg,Taipei Medical University,Applications of AI Technology,4.5,(20 reviews),4 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/artificial-intelligence-in-bioinformatics,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/77/27/thumbnail_7727234d-9f0c-4eb9-a02f-b10ddfdfc69d.jpg"" alt=""Women in lab attire looking at notes. On the background you can see a screen with DNA samples and a microscope""/>",https://ugc.futurelearn.com/uploads/images/77/27/thumbnail_7727234d-9f0c-4eb9-a02f-b10ddfdfc69d.jpg,Taipei Medical University,Artificial Intelligence in Bioinformatics,4.4,(13 reviews),3 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/industrial-application-in-precision-medicine-and-smart-healthcare,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/df/c4/thumbnail_dfc4c7e7-1a6b-42e0-8ce3-2f377caad5e0.jpg"" alt=""Medicine doctor and stethoscope in hand touching icon medical network connection with modern virtual screen interface, medical technology network concept""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Taipei Medical University,Precision Medicine and Smart Healthcare: The Industrial Applications,,,5 weeks,2 hrs per week,Included in Unlimited,New
https://www.futurelearn.com/courses/start-teaching-computing-in-primary-schools,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/ea/13/thumbnail_ea131bba-b9ea-4cd9-8734-aed934217acd.jpg"" alt=""Images and symbols representing the course, including representations of Scratch Jr and Scratch, a Bee-bot robot and diagrams representing algorithms ""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Raspberry Pi Foundation & National Centre for Computing Education,Get Started Teaching Computing in Primary Schools: Preparing to teach 5 - 11 year olds,4.6,(31 reviews),4 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/encryption-and-cryptography,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/1c/98/thumbnail_1c988cc2-4ac0-4bd9-a0b0-d813aae407d3.jpg"" alt=""A collage of key illustrations that appear throughout the course representing the topic of Encryption - keys, boxes, envelopes, laptops""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Raspberry Pi Foundation & National Centre for Computing Education,Introduction to Encryption and Cryptography,4.7,(75 reviews),2 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/networking-with-python-socket-programming-for-communication,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/08/60/thumbnail_08606a48-990e-4792-b0d6-873e2c3b124b.jpg"" alt=""A PC character and a server character connected by a cable. They both are giving a &quot;thumbs up&quot;. They are surrounded by items representing the course, including sockets, devices, messages and a pixellated cartoon of the Mona Lisa.""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Raspberry Pi Foundation & National Centre for Computing Education,Networking with Python: Socket Programming for Communication,4.7,(28 reviews),3 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/programming-102-think-like-a-computer-scientist,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/47/c4/thumbnail_47c47eba-cf82-48d2-ac8b-d8f35e7537ca.jpg"" alt=""""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Raspberry Pi Foundation & National Centre for Computing Education,Programming 102: Think Like a Computer Scientist,4.7,(95 reviews),4 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/secondary-programming-pedagogy,"<img class=""image-module_image__1vzg2 image-module_cover__2_Sai"" src=""https://ugc.futurelearn.com/uploads/images/9c/5c/thumbnail_9c5c347b-3bad-494f-b7e2-ccd5c6a2f600.jpg"" alt=""A collage of key illustrations that appear throughout the course representing the topic of Pedagogy - a student thinking, circuitry, robotics""/>","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",Raspberry Pi Foundation & National Centre for Computing Education,Programming Pedagogy in Secondary Schools: Inspiring Computing Teaching,4.8,(32 reviews),3 weeks,2 hrs per week,Included in Unlimited,
