Course_Link,image-module_image__1vzg2 src,Provider,Title,ReviewStars,Number_of_review,Duration_Week,Duration_per_week,Cost,Image-wrapper_hti-1
https://www.futurelearn.com/courses/vet-school-application-support,https://ugc.futurelearn.com/uploads/images/59/35/thumbnail_59359d44-f391-4258-a82d-d9d549390980.jpg,The University of Nottingham,Virtual Work Experience and Exploring the Veterinary Profession,4.8,(445 reviews),2 weeks,3 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/artificial-intelligence-technology-application,https://ugc.futurelearn.com/uploads/images/22/a7/thumbnail_22a71e09-ae34-4926-a743-9436fa58cefb.jpg,Taipei Medical University,Applications of AI Technology,4.5,(20 reviews),4 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/artificial-intelligence-in-bioinformatics,https://ugc.futurelearn.com/uploads/images/77/27/thumbnail_7727234d-9f0c-4eb9-a02f-b10ddfdfc69d.jpg,Taipei Medical University,Artificial Intelligence in Bioinformatics,4.4,(13 reviews),3 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/representing-data-with-images-and-sound,https://ugc.futurelearn.com/uploads/images/f6/a5/thumbnail_f6a53af0-e529-45dc-b70a-4059bfce8eea.jpg,Raspberry Pi Foundation & National Centre for Computing Education,Data Representation in Computing: Bring Data to Life,4.8,(29 reviews),3 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/anatomy-know-your-abdomen,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",University of Leeds,Anatomy: Know Your Abdomen,4.7,(244 reviews),2 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/combating-corrosion-an-introduction-to-socorro,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",The University of Kent & SOCORRO,Combatting Corrosion: An Introduction to SOCORRO,,,2 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/ecology-and-wildlife-conservation,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",University of Leeds,Ecology and Wildlife Conservation,4.6,(274 reviews),2 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/exploring-cancer-medicines,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",University of Leeds,Exploring Cancer Medicines,4.3,(75 reviews),2 weeks,2 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/planet-earth,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",University of Leeds,Planet Earth: Understanding and Protecting our Environment,4.8,(11 reviews),2 weeks,3 hrs per week,Included in Unlimited,
https://www.futurelearn.com/courses/transport-systems-global-issues-and-future-innovations,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAASwAAADIBAMAAACg8cFmAAAAGFBMVEXt7e7KyszV1dfe3t/m5ufq6uvg4OHOztD3GVIkAAAAnklEQVR42u3OwQnCQBAAwENIASsWIFagpARtJCWID9v3c+d/QciezFQwDQAAAAAAAAAAAIAfWyJaQVpanVaGVoZWhlaGVobWHu7rUKq1xaA1ceu1Dq2OLc6tIC2tTitDK0MrQyvjv1vLY7hVah3iS2ve1vEyXFsZhzi1grS0Oq0MrQytDK0MrV28u2etVgxa87YAAAAAAAAAAAAApvYB2BwigkXIZZgAAAAASUVORK5CYII=",University of Leeds,Transport Systems: Global Issues and Future Innovations,4.8,(43 reviews),2 weeks,4 hrs per week,Included in Unlimited,
