course_link,Title,Instructor,duration,level,rating
https://www.pluralsight.com/courses/network-address-translation-operation-configuration,Network Address Translation Operation and Configuration,by Ross Bagurdes,1h 38m,Intermediate,-35
https://www.pluralsight.com/courses/android-broadening-app-appeal-reach,Broadening Android App Appeal and Reach,by Jim Wilson,4h 4m,Advanced,-52
https://www.pluralsight.com/courses/essential-tools-red-hat-enterprise-linux,Understanding and Using Essential Tools for Enterprise Linux 7,by Anthony Nocentino,3h 52m,Beginner,-75
https://www.pluralsight.com/courses/linux-high-availability-cluster-management-lpic-3,Linux High Availability Cluster Management,by David Clinton,1h 26m,Intermediate,-25
https://www.pluralsight.com/courses/linux-managing-software-debian-software-management,Managing Software in Linux with Debian Software Management,by Andrew Mallett,1h 58m,Beginner,-25
https://www.pluralsight.com/courses/modern-desktops-policies-profiles,Managing Windows 10/11 Desktops: Policies and Profiles,by Glenn Weadock,2h 34m,Intermediate,-15
https://www.pluralsight.com/courses/designing-deploying-exchange-2016-70-345-mailbox-databases,Designing/Deploying Exchange 2016: Mailbox Databases,by Paul Cunningham,3h 55m,Intermediate,-52
https://www.pluralsight.com/courses/design-database-environment-sql-server-2014-70-465,Design a Database Environment with SQL Server 2014 (70-465),by Pluralsight,1h 13m,Intermediate,-25
https://www.pluralsight.com/courses/linux-administration-sed-awk,Linux Administration with sed and awk,by Andrew Mallett,3h 59m,Intermediate,-245
https://www.pluralsight.com/courses/windows-server-2016-virtualization-securing,Securing Windows Server 2016 Virtualization,by Robert McMillen,2h 30m,Intermediate,-15
https://www.pluralsight.com/courses/agile-real-world,Agile in the Real World,by Jeremy Jarrell,2h 8m,Intermediate,-524
https://www.pluralsight.com/courses/windows-10-installing-configuring,Installing and Configuring Windows 10/11,by Andrew Bettany,2h 36m,Intermediate,-35
https://www.pluralsight.com/courses/maintaining-monitoring-troubleshooting-kubernetes,"Maintaining, Monitoring and Troubleshooting Kubernetes",by Anthony Nocentino,2h 14m,Intermediate,-59
https://www.pluralsight.com/courses/understanding-aws-core-services,Understanding AWS Core Services,by David Tucker,2h 46m,Beginner,-523
https://www.pluralsight.com/courses/configuring-cisco-router,Configuring a Cisco Router,by Ross Bagurdes,2h 44m,Intermediate,-52
https://www.pluralsight.com/courses/cisco-enterprise-networks-basic-networking-ip-fundamentals,Cisco Enterprise Networks: Basic Networking and IP Fundamentals,by Ben Piper,1h 45m,Intermediate,-85
https://www.pluralsight.com/courses/designing-deploying-exchange-2016-70-345-recipients,Designing/Deploying Exchange 2016: Recipients & Security,by Paul Cunningham,2h 49m,Intermediate,-25
